"","subject","condition","vignetteType","vignetteNumber","answerOrder","vignette","dummyVignetteAnswer","vignetteAnswer","gender","age","postquestion1","postquestion2"
"133","msp835yz55u","G10B","G","10","B","G10",7,3,"female",49,"correct","I figured if the odds weren't known that it was probably because the odds of winning were very low and I would be better off with a 50/50 chance."
"134","dkd535yzckv","G5B","G","5","B","G5",7,3,"male",31,"correct","It just felt right and be the better of the two choices."
"135","nmov35yzytc","G11A","G","11","A","G11",7,0,"male",39,"correct","Since there is a equal chance for both as well as you can not be at both the places. It does not matter which is your preferred one."
"136","zjeo35yzfzc","L1A","L","1","A","L1",7,2,"female",34,"correct","I would rather have t least 50% chance of the stock I have already doing well."
"137","wjhq35yz9oy","G7A","G","7","A","G7",7,1,"male",29,"correct",NA
"138","ocd535yz0p9","L11A","L","11","A","L11",7,1,"male",45,"correct","I would rather know the percentages than not."
"139","640p35yzvpk","L4A","L","4","A","L4",7,2,"male",50,"correct","I felt it was better knowing a bit about the chances."
"140","odyf35yzebq","G11B","G","11","B","G11",7,3,"male",36,"correct","a 50:50 ratio  gave me the better chance to spot the bird... none of the the scenarios could grant me a satisfying success rate though.."
"141","cpzi35yzgjl","G4B","G","4","B","G4",7,1,"female",41,"correct",NA
"142","rmci35yzzwq","G9A","G","9","A","G9",7,0,"female",45,"correct","The answers had the same practical application to my life. Whether the odds were certainly 50% or unknowable, my child would still have a 50% chance of pursuing the 'right' talent."
"143","o2xx35yzryq","G8B","G","8","B","G8",7,0,"male",47,"correct","I didn't really care either way for the blind date question. While I want a date that is a beautiful, she would also make me feel self conscious and out of my league. Because of that, it is a toss-up whether I would prefer her or the average looking girl. The unknown percentage choice was as reasonable to me as the 50/50 one."
"144","k75s35yz6em","L5B","L","5","B","L5",7,0,"male",43,"correct","Without knowing the percentages in option A, there's no way of knowing which I would prefer."
"145","1m3e35yz2ts","G4A","G","4","A","G4",7,-2,"male",40,"correct",NA
"146","mabp35yzk4j","G8B","G","8","B","G8",7,2,"female",28,"correct","an ugly person could have a much more attractive personality. So it really didn't matter to me"
"147","mok035yzyrl","G4B","G","4","B","G4",7,-1,"female",60,"correct","That was a tough one. I was hoping the probability would be higher for the person I have the romantic interest in, rather than 50/50. Still it's a gamble."
"148","ua8w35yz47c","L3B","L","3","B","L3",7,0,"male",24,"correct","I was thinking to myself that statistically, both options are essentially the same; one said that I know the odds are 50/50 and the other said I didn't know the odds. Given this lack of information and only two possibilities, then it is essentially a 50/50 possibility regardless. Because of this I had no preference between the two options."
"149","y6s835yzz2h","G9A","G","9","A","G9",7,2,"female",33,"correct",NA
"150","k8v035yzw5x","G4A","G","4","A","G4",7,1,"female",38,"correct",NA
"151","mymz35yzr83","L7A","L","7","A","L7",7,1,"male",28,"correct",NA
"152","n7kq35yzbrx","L6A","L","6","A","L6",7,0,"female",34,"correct","I was thinking that the probability didn't really matter."
"153","th2v35yz7lu","G3B","G","3","B","G3",7,1,"female",41,"correct",NA
"154","vcn735yz553","L12B","L","12","B","L12",7,0,"female",33,"correct","I had no preference. I went back and forth but neither situation is better than the other. I'll just go in blind."
"155","zuyl35yztox","G3B","G","3","B","G3",7,0,"female",56,"correct","Since there is a 50/50 chance one or the other departments will be supported, it does not matter which department I go."
"156","ygcg35yzpo5","G4A","G","4","A","G4",7,1,"male",36,"correct",NA
"157","jdrv35yzmif","G6B","G","6","B","G6",7,3,"female",29,"correct","There are two parties and I figured one party is better than the other,so my crush should be there."
"158","a8gy35yzprm","G6A","G","6","A","G6",7,3,"male",28,"correct","Because I have the same chances of meeting them at either party."
"159","qwbd35yzq8j","G11B","G","11","B","G11",7,3,"male",35,"correct",NA
"160","5jol35yzcmj","G2B","G","2","B","G2",7,2,"male",55,"correct","The reasoning for me was simple.  Without knowing which company would have a more significant chance of receiving the investment, I would rather have an even chance of picking the right company."
"161","8cr035yze0x","G4A","G","4","A","G4",7,2,"male",34,"correct","50/50 are much better odds than an unknown quantity so I would prefer A"
"162","ojqf35yzcvg","G1A","G","1","A","G1",7,1,"male",28,"correct","I felt more comfortable in a situation where taking the gamble came down to 50/50 and I knew where I stood with the gamble. Not knowing the probability of either made me slightly uncomfortable with the prospect of being in that situation."
"163","ro2n35yzm5t","L3A","L","3","A","L3",7,3,"male",30,"correct","I would rather know the odds than not know the odds, even if the unknown might be preferable."
"164","i94035yz5ze","L5B","L","5","B","L5",7,-3,"female",49,"correct","If I knew how much percentage chance I had of contracting the pathogen, it will be difficult for me emotionally. So I would rather prefer that I did not know how much chance I had for acquiring the pathogen."
"165","m1oi35yz4cy","L4B","L","4","B","L4",7,2,"male",55,"correct",NA
"166","40js35yzwpg","G3A","G","3","A","G3",7,0,"male",46,"correct",NA
"167","ylxc35yzuwt","L5B","L","5","B","L5",5,0,"female",45,"correct",NA
"168","xo2935yzpx3","L8B","L","8","B","L8",7,-1,"female",55,"correct","I choose slightly A because the odds may be better that the hailstorm did not hit the carpark."
"169","yk1e35yzqcg","G6B","G","6","B","G6",6,3,"female",42,"correct",NA
"170","l56b35yz2i9","L7B","L","7","B","L7",7,0,"male",34,"correct","I feel like they're pretty much equivalent."
"171","ol8g35yzl2p","L3B","L","3","B","L3",7,3,"female",23,"correct",NA
"172","pxiq35yzrna","L6A","L","6","A","L6",7,0,"female",43,"correct","Neither option was very good, they had the same likelihood"
"173","nbe135yzv3l","L4A","L","4","A","L4",7,1,"male",29,"correct",NA
"174","k07m35yzohe","G3A","G","3","A","G3",7,0,"female",33,"correct","I don't think it made a difference"
"175","y34v35yz249","L5A","L","5","A","L5",7,-1,"male",43,"correct","I was thinking that in situation B there could be a more than 50 percent chance it was the benign none. But, maybe it would go against me too."
"176","69zh35yz7n3","L8B","L","8","B","L8",7,0,"female",35,"correct","50/50 is up to chance, and unknown percentages (in situation A) are also up to chance. Therefore, both scenarios seem exactly the same to me, and I am indifferent between them."
"177","511635yz7ml","L6A","L","6","A","L6",7,0,"female",44,"correct","I think things turning out how I would want them to would be just as likely with either choice."
"178","2j5u35yzst2","L2B","L","2","B","L2",7,0,"male",24,"correct",NA
"179","o85b35yzzhf","G11A","G","11","A","G11",7,2,"female",35,"correct","I would probably rather there be a 50/50 shot at seeing the bird and to know that than to have there be more like an 80/20 chance but not know which was which and possibly go to the 20% chance place."
"180","e2wd35yzpxb","G2A","G","2","A","G2",7,0,"male",33,"correct",NA
"181","qb8o35yzilw","L12A","L","12","A","L12",7,-2,"male",32,"correct",NA
"182","yhoj35yzhl1","G2A","G","2","A","G2",7,1,"female",46,"correct",NA
"183","azcu35yzhyq","L7B","L","7","B","L7",7,3,"female",33,"correct",NA
"184","etrl35yznvv","G12B","G","12","B","G12",7,0,"male",45,"correct","Because neither option gave me a solid outcome, and with a 50% probability, I am indifferent about which one I would do."
"185","d7hv35yzyn7","L5B","L","5","B","L5",7,1,"female",29,"correct","I chose that I slightly preferred option B. I thought that I would be more scared of the unknown, rather than a 50/50 chance."
"186","ak3935yzejp","L3B","L","3","B","L3",7,0,"female",60,"correct",NA
"187","z3xr35yz3dd","G10B","G","10","B","G10",7,2,"female",38,"correct","I thought a 50/50 probability was likely the best option for success."
"188","hyy935yzdqy","G12A","G","12","A","G12",7,0,"female",36,"correct",NA
"189","gx6335yz6yo","L3A","L","3","A","L3",7,1,"female",35,"correct","I feel like 50/50 odds might have been better than the unknown, but its also possible its not."
"190","dcy135yzmk0","G8B","G","8","B","G8",7,1,"female",35,"correct","It was a blind date anyways and I would prefer to know the odds."
"191","5n6l35yz5gw","G12B","G","12","B","G12",7,0,"female",64,"correct","I was thinking that I would rather know the odds (50/50) than not know the odds"
"192","rfy635yzov4","L2A","L","2","A","L2",7,-2,"female",55,"correct","50% sounds scary even if true"
"193","u9o635yzmq6","L4A","L","4","A","L4",5,0,"male",26,"correct",NA
"194","v03f35yzmue","L7A","L","7","A","L7",7,0,"female",42,"correct","The question was phrased as having to pick between 2 colors. The choices were really up to chance, so in this case it would not really matter between ""A"" or ""B""."
"195","whyw35yzo93","G4B","G","4","B","G4",7,1,"male",27,"correct","I'd slightly rather the known 50/50 shot at friend X reciprocating my feelings than the unknown percentile as I don't have the best luck with seemingly random things like that."
"196","c21q35yzxt8","L7B","L","7","B","L7",7,1,"male",29,"correct","I was thinking the opposing scenario could have a probability as bad as 0% chance to avoid losing $1000."
"197","jpop35yzpio","L11A","L","11","A","L11",7,2,"male",53,"correct","There is a chance that the program that my child plans to attend will not be discontinued. I was hoping that the program which my child plans to attend will not be discontinued."
"198","5r1635yz2w2","G8B","G","8","B","G8",7,3,"female",49,"correct","I wasn't concerned about the attractiveness of the dates, so a 50/50 chance with either was fine with me."
"199","ocys35yzioh","L6B","L","6","B","L6",7,1,"male",63,"correct","A fifty fifty chance seemed better than a possibly large percentage for the unattractive date."
"200","1umb35yzizc","G2B","G","2","B","G2",7,0,"male",33,"correct",NA
"201","6wvl35yzz3a","L2B","L","2","B","L2",7,2,"female",37,"correct",NA
"202","cgcg35yzrgx","G5B","G","5","B","G5",7,1,"female",26,"correct","I decided that a 50-50 chance is slightly better than not knowing my chances in the other hypothetical situation."
"203","ra3135yzz1z","L2B","L","2","B","L2",7,-1,"female",38,"correct","I was holding on to the hope that the odds could possibly be higher in my favor rather than 50/50"
"204","inoq35yz16b","L10A","L","10","A","L10",7,1,"female",29,"correct","I was thinking at first how I'd feel about knowing if my branch was closing, but then I realized I didn't want to be stuck at a branch that was maybe 90% chance of closing, I'd rather risk the 50/50 chance and be aware of it."
"205","25ux35yzmn4","G2A","G","2","A","G2",7,-2,"female",55,"correct","50% sounds scary even if true"
"206","0q5n35yzyh5","L7B","L","7","B","L7",7,0,"male",37,"correct","Because it doesnt matter which answer i picked as it doesnt change the outcome that you are probably gonna lose 1000 dollars."
"207","jewr35yzza6","G10A","G","10","A","G10",7,3,"male",47,"correct","The alternative had no odds whatsoever, so there could have been 999 red balls or only 1. I'd rather go with a known probability of 50%."
"208","i27235yzegr","G10A","G","10","A","G10",7,2,"female",61,"correct","the unknown probabilities could be really bad"
"209","bav835yzfhh","L1A","L","1","A","L1",7,0,"female",32,"correct","Because I think that the chances of the stock plummeting could have been identical because I did not know the percentages for the second option."
"210","pngk35yzaep","L3A","L","3","A","L3",7,-1,"male",24,"correct",NA
"211","6agi35yzb45","L4B","L","4","B","L4",7,3,"male",24,"correct",NA
"212","8mri35yzmxe","L1B","L","1","B","L1",7,0,"male",27,"correct","To me both situation were the same and it didnt matter to me which way I chose."
"213","atro35yz132","G7B","G","7","B","G7",7,0,"male",45,"correct","The options were either 50% or ""Unknown"" which could have been a certainty, but I had no way of knowing either way. So, it was options are 50% or picking between two faced down cards, essentially."
"214","87et35yzml5","L5A","L","5","A","L5",7,-2,"female",69,"correct","I think I'd rather not know the percentages."
"215","29gt35yzbt7","L2B","L","2","B","L2",7,2,"male",38,"correct","I dislike taking chances with unknown variables so I would probably prefer the 50-50% situation."
"216","m0iz35yzdx8","L2A","L","2","A","L2",7,1,"male",59,"correct","I was thinking about the odds of having received a lethal bite going up."
