content,date,exp
"{""subject"":""ck0835yze65"",""condition"":""L2A"",""vignetteType"":""L"",""vignetteNumber"":2,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""1"",""gender"":""male"",""age"":""33"",""postquestion1"":""correct"",""postquestion2"":""Probability. It's the flip of a coin.""}",2019-03-27 04:33:48.852797,
"{""subject"":""5isp35yzm8i"",""condition"":""L11A"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""42"",""postquestion1"":""correct"",""postquestion2"":""I think that either situation was not ideal, so I chose no preference.""}",2019-03-27 10:39:29.069566,
"{""subject"":""8zfb35yzdrg"",""condition"":""L10B"",""vignetteType"":""L"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""I picked the answer I picked because I felt better knowing the odds. I think knowing the odds helps to improve in picking what option to chose. I was thinking if I have a 50/50 chance than there is a good chance that my job will be ok.""}",2019-03-27 03:29:55.509248,
"{""subject"":""ir9x35yzic7"",""condition"":""L12A"",""vignetteType"":""L"",""vignetteNumber"":12,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""1"",""gender"":""female"",""age"":""56"",""postquestion1"":""correct"",""postquestion2"":""I chose the option that there was a 50-50 chance that either department's budget would be slashed, because then at least I would know that there was an equal chance for either department's budget to either be slashed or not. I didn't choose the other option because then I would have less information. I would know that one department's budget would be slashed, but I would have no idea of the odds of each department having their budget slashed.""}",2019-03-27 09:41:27.676266,
"{""subject"":""cx6f35yzb3f"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""female"",""age"":""25"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 03:59:11.703155,
"{""subject"":""6u5u35yzp86"",""condition"":""L3A"",""vignetteType"":""L"",""vignetteNumber"":3,""answerOrder"":""A"",""dummyVignetteAnswer"":""1"",""vignetteAnswer"":""2"",""gender"":""female"",""age"":""34"",""postquestion1"":""correct"",""postquestion2"":""I was thinking that option B could have been a higher probability of infestation X, and with a 50/50 shot, those were nicer odds.""}",2019-03-27 01:00:55.837073,
"{""subject"":""egzi35yztxn"",""condition"":""L1A"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""28"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:00:20.888746,
"{""subject"":""gppa35yzpk3"",""condition"":""L1B"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""52"",""postquestion1"":""correct"",""postquestion2"":""either one I did not know which one will plummet and which one would grow.""}",2019-03-27 00:27:53.214787,
"{""subject"":""em7h35yzd50"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""A 50/50 chance to win a thousand bucks seems like a good position to be in.""}",2019-03-27 00:58:49.609496,
"{""subject"":""6xxn35yzu29"",""condition"":""L1A"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""28"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 00:03:50.958118,
"{""subject"":""yudm35yzwe2"",""condition"":""L1B"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""female"",""age"":""62"",""postquestion1"":""correct"",""postquestion2"":""There really is no difference between the two options. I have no idea which of the two stocks will plummet. If I choose option A either stock could plummet. If I choose option B, the only difference is that I know both stocks have the same risk of being the stock that will plummet. So, I selected option B because at least I know that both stocks have the same risk of plummeting. ""}",2019-03-27 19:40:51.129213,
"{""subject"":""f2wm35yz235"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""There's less ambiguity in situation B; that makes it less stressful for me.""}",2019-03-27 00:24:48.410592,
"{""subject"":""yu4435yzde5"",""condition"":""L7A"",""vignetteType"":""L"",""vignetteNumber"":7,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""male"",""age"":""34"",""postquestion1"":""correct"",""postquestion2"":""I like to know my chances for something before hand. ""}",2019-03-27 01:44:01.468663,
"{""subject"":""7i3335yzif2"",""condition"":""G9A"",""vignetteType"":""G"",""vignetteNumber"":9,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""I am thinking that 50/50 odds make it impossible to predict the outcome or choose a specialization for my child now.  The unknown outcome probably has one choice or the other in my favor but their is no way of knowing so I could specialize my child in something with no shot of being the scholarship specialization.  Both options are unhelpful in the decision making process. ""}",2019-03-27 11:43:16.393563,
"{""subject"":""zeqw35yzy0o"",""condition"":""L7B"",""vignetteType"":""L"",""vignetteNumber"":7,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""male"",""age"":""55"",""postquestion1"":""correct"",""postquestion2"":""at least you would have some idea what you were up against""}",2019-03-27 00:20:09.172080,
"{""subject"":""4ibf35yzhju"",""condition"":""L2A"",""vignetteType"":""L"",""vignetteNumber"":2,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""43"",""postquestion1"":""correct"",""postquestion2"":""I picked that answer because it was more realistic than a simple 50-50 chance in this situation with the snake bite.""}",2019-03-27 00:55:10.060105,
"{""subject"":""egle35yzckb"",""condition"":""L11A"",""vignetteType"":""L"",""vignetteNumber"":11,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""37"",""postquestion1"":""correct"",""postquestion2"":""It was there in the question itself that the school has not finalized the exact program they were going to discontinue, and I felt that the answer I chose was appropriate keeping in mind the scenario provided.""}",2019-03-27 02:00:49.675310,
"{""subject"":""hzfv35yzu11"",""condition"":""L9B"",""vignetteType"":""L"",""vignetteNumber"":9,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""female"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 11:06:07.503411,
"{""subject"":""mowg35yz12m"",""condition"":""G1B"",""vignetteType"":""G"",""vignetteNumber"":1,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""39"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:23:22.636889,
"{""subject"":""0hoi35yz20h"",""condition"":""G12A"",""vignetteType"":""G"",""vignetteNumber"":12,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""40"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-26 23:55:45.229176,
"{""subject"":""f89s35yz8nf"",""condition"":""G8B"",""vignetteType"":""G"",""vignetteNumber"":8,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""female"",""age"":""29"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 14:40:30.113588,
"{""subject"":""sknd35yzeim"",""condition"":""G6B"",""vignetteType"":""G"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""female"",""age"":""38"",""postquestion1"":""correct"",""postquestion2"":""The answer made more sense to me. The 50% told me of the exact probability and I always like to know exactly what I am up against and what my chances are of success. I was thinking that one situation would be no better than the other""}",2019-03-27 01:29:10.443341,
"{""subject"":""4txg35yz60u"",""condition"":""G2B"",""vignetteType"":""G"",""vignetteNumber"":2,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""38"",""postquestion1"":""correct"",""postquestion2"":""I chose the answer I did because, since I don't know the probabilities in option A, then I can't assume it is any better than 50/50 like in option B so I don't really prefer either one as they could possibly be the same. ""}",2019-03-26 23:56:34.416795,
"{""subject"":""ws1035yz2sz"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""53"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 22:24:14.495913,
"{""subject"":""pmkz35yz26y"",""condition"":""L12A"",""vignetteType"":""L"",""vignetteNumber"":12,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""42"",""postquestion1"":""correct"",""postquestion2"":""I was thinking about how I might improve my 50/50 odds of picking the \""correct\"" department; that is, the department that won't have its budget slashed. I chose (B) because with each probability being unknown, and since I have not yet accepted the promotion offer yet (meaning I haven't chosen my department yet either), I would try to gather more information that could lead me in the right direction. With choice (A), the wording suggests not that the percentages are unknown (like with option B), but that it's a 50/50 proposition. With this in mind, I would prefer to go with the unknown and try to nail down some figures so I could make an informed decision about which department to head.""}",2019-03-27 00:23:16.063465,
"{""subject"":""ah4i35yzhxi"",""condition"":""G10A"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""1"",""gender"":""female"",""age"":""44"",""postquestion1"":""correct"",""postquestion2"":""I remembered what it was about the balls.""}",2019-03-26 23:51:44.668109,
"{""subject"":""00s735yzmt4"",""condition"":""L9A"",""vignetteType"":""L"",""vignetteNumber"":9,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""1"",""gender"":""male"",""age"":""37"",""postquestion1"":""correct"",""postquestion2"":""I would rather have data to go by than just information without any data. In both cases, I could win or lose. But in one case knew I had equal chances of winning or losing. In the other I had no such information.""}",2019-03-27 02:32:30.509633,
"{""subject"":""z2ac35yz39j"",""condition"":""G11A"",""vignetteType"":""G"",""vignetteNumber"":11,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""39"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 00:11:48.711551,
"{""subject"":""zdzz35yzi0h"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""female"",""age"":""57"",""postquestion1"":""correct"",""postquestion2"":""If there is no guarantee of which person is my date, I would rather leave it up to chance without knowing the odds.""}",2019-03-27 01:24:47.736322,
"{""subject"":""mmd035yzqxf"",""condition"":""G9A"",""vignetteType"":""G"",""vignetteNumber"":9,""answerOrder"":""A"",""dummyVignetteAnswer"":""3"",""vignetteAnswer"":""1"",""gender"":""female"",""age"":""26"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-26 23:43:25.716838,
"{""subject"":""oz4f35yzgub"",""condition"":""L12B"",""vignetteType"":""L"",""vignetteNumber"":12,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""51"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:33:19.842598,
"{""subject"":""19ay35yzq10"",""condition"":""G12A"",""vignetteType"":""G"",""vignetteNumber"":12,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""3"",""gender"":""female"",""age"":""25"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 00:25:28.845989,
"{""subject"":""hi4t35yze8f"",""condition"":""L6A"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""24"",""postquestion1"":""correct"",""postquestion2"":""Appearance don't necessarily make a good date, an individual is more than just their looks, as such I am totally indifferent as to who my date is. A pretty person can be soulless and boring and end up ruining the date.""}",2019-03-27 00:13:16.980197,
"{""subject"":""1mup35yzec9"",""condition"":""L1B"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""49"",""postquestion1"":""correct"",""postquestion2"":""Because it was basically the same outcome. Either way one of the stocks was dropping. ""}",2019-03-27 01:30:04.088991,
"{""subject"":""7pay35yzt80"",""condition"":""G4A"",""vignetteType"":""G"",""vignetteNumber"":4,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""2"",""gender"":""female"",""age"":""27"",""postquestion1"":""correct"",""postquestion2"":""I'd rather have more of a certainty of knowing which one liked me (50% each) as opposed to not knowing the specific probabilities.""}",2019-03-27 00:42:10.288850,
"{""subject"":""hh6a35yzbx1"",""condition"":""L10B"",""vignetteType"":""L"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""4"",""gender"":""male"",""age"":""19"",""postquestion1"":""correct"",""postquestion2"":""Since I don't know what the odds are for A, it's a 50/50 situation to me anyway, so the two options are the same.""}",2019-03-27 00:02:31.685038,
"{""subject"":""lt6y35yz8bp"",""condition"":""L4B"",""vignetteType"":""L"",""vignetteNumber"":4,""answerOrder"":""B"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""6"",""gender"":""male"",""age"":""50"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:13:01.353888,
"{""subject"":""go5635yze80"",""condition"":""G1A"",""vignetteType"":""G"",""vignetteNumber"":1,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""47"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:04:59.773979,
"{""subject"":""3hwi35yzncj"",""condition"":""L8B"",""vignetteType"":""L"",""vignetteNumber"":8,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""5"",""gender"":""male"",""age"":""33"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 18:46:32.163423,
"{""subject"":""xk3035yzccu"",""condition"":""L1B"",""vignetteType"":""L"",""vignetteNumber"":1,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""35"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-26 23:54:40.920014,
"{""subject"":""czcm35yz2zc"",""condition"":""G10B"",""vignetteType"":""G"",""vignetteNumber"":10,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""36"",""postquestion1"":""correct"",""postquestion2"":""I'd rather know the odds and 50/50 is quite fair.""}",2019-03-27 00:05:31.993114,
"{""subject"":""kgeq35yzfro"",""condition"":""L7A"",""vignetteType"":""L"",""vignetteNumber"":7,""answerOrder"":""A"",""dummyVignetteAnswer"":""6"",""vignetteAnswer"":""2"",""gender"":""female"",""age"":""42"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 00:02:39.617666,
"{""subject"":""kama35yz941"",""condition"":""L5A"",""vignetteType"":""L"",""vignetteNumber"":5,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""6"",""gender"":""female"",""age"":""44"",""postquestion1"":""correct"",""postquestion2"":""I would rather be certain than not know. ""}",2019-03-27 19:12:08.324250,
"{""subject"":""j37c35yz9jk"",""condition"":""L6B"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""female"",""age"":""31"",""postquestion1"":""correct"",""postquestion2"":""that between the 2 gentlemen 50% is the correct percentage ""}",2019-03-27 02:28:30.030785,
"{""subject"":""yedg35yzh6a"",""condition"":""G3B"",""vignetteType"":""G"",""vignetteNumber"":3,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""male"",""age"":""52"",""postquestion1"":""correct"",""postquestion2"":""I said that I slightly preferred the scenario where there was ambiguity about the exact preferences.   I decided that I liked this scenario better as it allowed me to try and better assess the decision to make the best possible that I could as opposed to making a 50%/50% decision which is basically the equivalent of flipping a coin.""}",2019-03-27 02:28:17.790804,
"{""subject"":""nux935yzrhq"",""condition"":""L4A"",""vignetteType"":""L"",""vignetteNumber"":4,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""4"",""gender"":""female"",""age"":""52"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 14:18:53.155327,
"{""subject"":""g1h135yztot"",""condition"":""L9B"",""vignetteType"":""L"",""vignetteNumber"":9,""answerOrder"":""B"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""3"",""gender"":""female"",""age"":""43"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 01:50:11.097107,
"{""subject"":""0esi35yzsw6"",""condition"":""L6A"",""vignetteType"":""L"",""vignetteNumber"":6,""answerOrder"":""A"",""dummyVignetteAnswer"":""7"",""vignetteAnswer"":""7"",""gender"":""male"",""age"":""32"",""postquestion1"":""correct"",""postquestion2"":""""}",2019-03-27 16:11:31.292255,
