subject,condition,vignetteType,vignetteNumber,answerOrder,vignette,dummyVignetteAnswer,vignetteAnswer,gender,age,postQuestion1,postQuestion2
xbk235yzrpj,L10B,L,10,B,L10,7,1,female,33,correct,"I would rather not know the percentages if it was a 50/50 chance.  I would constantly wonder which it could be, whereas if I don't know the percentage I wouldn't focus as much on it."
psid35yzn45,L4B,L,4,B,L4,7,4,male,38,correct,NA
sghz35yzg8u,G3A,G,3,A,G3,7,4,male,28,correct,Because I truly was indifferent to both options. They both seemed equally appealing to me.
2sf835yziek,G9B,G,9,B,G9,7,1,female,56,correct,sure to get something
ut9i35yzs7r,G10B,G,10,B,G10,7,3,male,39,correct,"I think that I would slightly prefer to not have an even chance of my crush being at one party or the other. That way, regardless of the outcome I can feel free to blame or praise the odds for the result."
qenw35yznkm,G11A,G,11,A,G11,7,2,male,23,correct,Knowing the probability makes me more comfortable
cm2035yzi1g,G10B,G,10,B,G10,7,4,male,28,correct,"Because it would be a guessing game either way, I was indifferent to the possibilities that were presented."
so6v35yz71w,G9B,G,9,B,G9,7,2,male,52,correct,NA
q6ca35yzn5l,G3B,G,3,B,G3,7,6,female,33,correct,"I would prefer to know the odds beforehand, even if there was no way to know the outcome."
9fpx35yzsr0,L4B,L,4,B,L4,7,4,female,44,correct,I think that both answers were equally undesirable as neither one would really help you to make a decision.
rdxr35yzrte,G9B,G,9,B,G9,7,5,male,55,correct,I leaned toward option B because I figured a 50-50 chance was good even odds and the other may be very unbalanced.
qsd635yz4im,G2B,G,2,B,G2,7,4,female,29,correct,"Either way, to me, it would be the same outcome regardless of probability. Either it's X or Y."
7nku35yz2rg,G10A,G,10,A,G10,6,4,female,45,correct,Its difficult to decide which option to be in so i will just follow fate.
ktb035yzw6x,G3A,G,3,A,G3,7,4,male,30,correct,NA
r90235yz85p,G6B,G,6,B,G6,7,2,female,56,correct,"I think since I had a 50/50 chance of selecting either employer, I preferred that the odds were the same that each company would get funding."
rxva35yz3rw,L9A,L,9,A,L9,7,4,male,44,correct,"The odds seemed to be about the same, so it was mostly pointless to choose..."
fxf935yzfg3,L3B,L,3,B,L3,7,6,female,55,correct,I think I would like to know the percentages rather than it being ambiguous.
5rg035yztlh,L6A,L,6,A,L6,6,2,male,32,correct,NA
ihk135yz1lm,G9B,G,9,B,G9,7,6,male,33,correct,I chose option B because I feel as though there is a 50/50 chance and either direction would work wonderfully.
5fut35yz7wk,L12A,L,12,A,L12,2,7,female,29,correct,NA
nlqj35yzfy2,L11B,L,11,B,L11,7,2,male,39,correct,I guess I felt a little better not having exact odds placed on it. I was thinking my odds might be 60 or 70 percent since no number was stated in that option. I felt like there was a higher chance my car did not get hit or at least I was trying to positively will it to be that way.
lxen35yz47t,G5B,G,5,B,G5,7,6,male,57,correct,"It simplifies everything. With the available information, there's no real way to make an intelligent decision on which stock to sell. A 50% chance for each one is simple, so I prefer that one."
1ahb35yzpav,L6A,L,6,A,L6,7,2,female,56,correct,I preferred the 50-50 odds.
vclj35yz90g,L6A,L,6,A,L6,7,4,female,43,correct,"I thought about which option would be beneficial to me.  So for the first question, I chose the house that was on a hill, that way I wouldn't get flooded.  In the second, neither option really would change my outcome."
dyk235yzdz3,G1A,G,1,A,G1,7,5,female,46,correct,"If I didn't win, I think it would be better to not know what my odds were than to know the odds are 50/50 and I chose wrong."
qxqv35yzeti,G12A,G,12,A,G12,7,1,male,29,correct,I'd rather have a 50:50 shot at the drug I choose working than an unknown probability.
8emr35yzrql,L9B,L,9,B,L9,7,2,female,36,correct,I figured my odds were a little better than the 50/50.  I wanted to remain optimistic that the outcome for me having the easier virus
a5t635yzb22,G9A,G,9,A,G9,7,1,male,33,correct,"The first option gave the most information. If I did a protocol and it didn't work, I would know the other one would, and that everyone else is equally in the same boat as I."
hab235yz7dn,L9B,L,9,B,L9,7,4,male,55,correct,"The result is the same either way, it either has one or the other. If the probabilities are unknown to me , then they are effectively equal to me. There is nothing I can do about it."
tvqj35yzbuk,L11A,L,11,A,L11,7,2,female,44,correct,NA
n5tt35yzi40,G7B,G,7,B,G7,5,4,female,29,correct,NA
hgc935yz7ug,L6B,L,6,B,L6,7,7,male,32,correct,I would rather know the chances of a branch closure so that I could make future plans if I was laid off.
3e6c35yztcc,L10A,L,10,A,L10,7,2,male,38,correct,"Since the known was even odds I thought about the possibility that it fell on either side of that, but ultimately I would rather know the probabilities than not know them."
4aj035yzwaw,G1B,G,1,B,G1,7,1,male,20,correct,NA
tu7t35yz7va,G11B,G,11,B,G11,7,6,female,64,correct,NA
k5ko35yz15m,G5B,G,5,B,G5,7,6,male,32,correct,NA
g2ay35yz0zt,G2B,G,2,B,G2,7,4,male,31,correct,NA
6inl35yzobu,L6A,L,6,A,L6,7,4,female,50,correct,NA
v26e35yzta2,G3B,G,3,B,G3,7,4,male,30,correct,NA
xzuv35yzcen,G2A,G,2,A,G2,7,6,female,33,correct,I don't like ifs. I would rather have definite answers
6wfj35yzwo5,G11B,G,11,B,G11,7,4,male,44,correct,"With the odds being unknown, it is effectively 50/50 (even if that is not the real odds), thus I selected no preference."
yhhi35yzn77,L3A,L,3,A,L3,7,3,female,46,correct,"At least with 50/50 odds I'd know that one department wasn't at any more risk than the other; however, if I were a risk taker, I'd probably go with the other option and hope that I'd choose the department with less chance of the budget cut.  I'm just not that brave I suppose."
4zov35yzaeu,G6B,G,6,B,G6,7,4,female,58,correct,NA
z55w35yz1ud,G7B,G,7,B,G7,6,3,male,31,correct,Choosing between which neighborhood I would rather be in. There is varying chances that a new school will be built in one of the neighborhoods. I chose improbable because I think it's not much different than 50/50.
x2sq35yzcwd,G3A,G,3,A,G3,7,1,female,38,correct,The way the question was asked influenced my answer
vhgh35yzufc,L8B,L,8,B,L8,7,7,male,27,correct,NA
sz0035yz93j,G6A,G,6,A,G6,7,1,female,48,correct,I would rather a 50/50 probabilty than an unknown
ss6q35yzdb3,G10B,G,10,B,G10,7,4,na,28,correct,NA
ygzm35yzlrh,L10B,L,10,B,L10,7,4,male,48,correct,NA
2fgs35yz2pb,G8B,G,8,B,G8,7,6,male,25,correct,NA
00em35yzu06,L11B,L,11,B,L11,7,5,male,40,correct,"I was thinking about how I might prefer knowing there is a 50/50 chance, as those are odds I can understand. alternatively, not knowing what the probability is could mean that the probability of damage is really high, but I just don't know that it is... 
I guess I'd rather know , and know there is a chance it came out ok."
w39w35yzh6a,L4A,L,4,A,L4,7,4,male,39,correct,NA
9chy35yzzsl,G11B,G,11,B,G11,6,4,female,43,correct,NA
fk7w35yzoej,G12A,G,12,A,G12,7,3,female,29,correct,"Even if it's 50/50, I'd at least want to know the probability, I think."
y0l235yzm53,L11B,L,11,B,L11,6,4,female,35,correct,NA
8t9i35yzdbn,L5A,L,5,A,L5,7,2,female,50,correct,"I was trying to think if it would really matter since 50/50 is not really any better odds than not knowing about either one.  I actually tried to reason out which could possibly be better situation, but not really sure either.  Tough question - but good."
l2ab35yz6pu,G7B,G,7,B,G7,7,2,male,37,correct,NA
rrhc35yzyl0,G1A,G,1,A,G1,7,2,female,30,correct,"50/50 is pretty good odds, I would prefer that over a percentage like 90/10 or 80/20"
p6x835yzyr1,G11B,G,11,B,G11,7,4,male,28,correct,NA
qoqw35yzbba,G8B,G,8,B,G8,7,4,female,41,correct,NA
r0hx35yzdme,L9B,L,9,B,L9,7,4,female,64,correct,Either choice has a chance of negative issues.
fhhf35yz8b6,L7A,L,7,A,L7,7,2,male,30,correct,NA
580035yzlyz,L5A,L,5,A,L5,6,2,female,55,correct,There was no good answer on that one I felt as I wouldn't want to have any stock that would plummet.
rkff35yzeqk,G6B,G,6,B,G6,7,2,female,47,correct,"I was thinking that I would rather that one of the companies got a really great investor in it and that hopefully I would land a job with that company than that both companies got half-hearted investors, but nothing really outstanding i.e. I thought that option A was putting all my eggs in one basket, but I hoped that it would work to my advantage."
nrr635yzd5k,L5A,L,5,A,L5,7,4,male,30,correct,NA
939x35yziqf,L9B,L,9,B,L9,7,6,male,63,correct,"it was difficult to choose an answer for that one.  I just figured i'd feel more comfortable if i knew i had a 50/50 chance that it would not take a long time to repair.  it seemed like the ""safer"" option although both options were risky."
j8ev35yz4be,G6B,G,6,B,G6,7,6,male,52,correct,I would rather know what the odds are
6frn35yzchz,G3B,G,3,B,G3,6,4,male,30,correct,"I chose that I have no preference. No matter which scenario I chose, I would have no knowledge of which would be the more highly supported department, so it wouldn't matter which I chose."
07xc35yzk06,L8A,L,8,A,L8,7,1,female,49,correct,"I like to look at things more positively.  If I had a 50/50 chance, that seemed to better than not knowing!"
jmmo35yzyl9,L4B,L,4,B,L4,7,6,male,39,correct,NA
i77135yz9cu,G12B,G,12,B,G12,7,3,male,38,correct,NA
m3g835yzin2,G8B,G,8,B,G8,7,3,female,57,correct,NA
tr5235yz7ov,L8A,L,8,A,L8,6,1,male,26,correct,NA
wt4g35yz3yr,G11A,G,11,A,G11,7,6,female,29,correct,NA
vyr035yz152,L2B,L,2,B,L2,7,6,female,64,correct,I'd rather know the odds.
7r8035yzwgw,L1A,L,1,A,L1,5,7,male,39,correct,NA
kx4l35yzhrw,L10B,L,10,B,L10,7,4,female,43,correct,NA
nqn635yza15,L9A,L,9,A,L9,1,1,male,33,correct,i like numbers i like to know my odds i don't like uncertanty
b2gp35yzhri,G7A,G,7,A,G7,7,1,female,30,correct,NA
si4z35yzg54,G7B,G,7,B,G7,6,4,male,37,correct,NA
1cqf35yzdx6,L10B,L,10,B,L10,7,5,female,34,correct,NA
zypg35yzbx3,G8A,G,8,A,G8,7,6,male,40,correct,"The options were not really clear. 50% chance might mean neither was interested in me. The choices could have been clearer. So, I chose the one where I knew at least one person was interested in me."
nf7c35yzb8d,G2A,G,2,A,G2,7,4,male,41,correct,NA
q2v535yz86q,G9B,G,9,B,G9,7,3,female,24,correct,NA
6e2035yzadu,G4A,G,4,A,G4,7,2,male,37,correct,NA
14h435yzwx0,G10B,G,10,B,G10,7,4,female,44,correct,NA
vgky35yzbf7,G6B,G,6,B,G6,7,4,female,29,correct,NA
ltay35yzo6v,G12B,G,12,B,G12,7,2,male,47,correct,I would think I could use the placebo effect to my advantage and convince myself I have taken the one I need and that it is working.
ugmm35yz13s,L2A,L,2,A,L2,7,4,female,35,correct,NA
dq4d35yz87z,L6A,L,6,A,L6,7,2,female,38,correct,"It feels better intuitively, even though on second thought, both answers are basically the same"
bzcu35yzgi5,G9A,G,9,A,G9,7,4,female,41,correct,NA
2uj435yzq5c,G9A,G,9,A,G9,7,7,female,56,correct,Better to get some benefit from the training than to pick and maybe get the one that doesn't help at all.
unr535yzrrt,L11A,L,11,A,L11,7,7,male,24,correct,"Both answers were fairly similar, answer B sounded more natural."
eif335yzg4v,G8A,G,8,A,G8,1,1,female,52,correct,The same diference between 50% and 50% chance of each liking me and the unknown percentage
owhe35yzv73,L5B,L,5,B,L5,7,2,male,36,correct,"I know that the stock market is always volatile, so I don't care to have exact odds."
qwme35yz47z,G8A,G,8,A,G8,7,4,female,39,correct,NA
w4mf35yza65,G6A,G,6,A,G6,7,4,female,55,correct,Each scenario was the same. One was no better than the other at this time.
gi9d35yztfi,L1B,L,1,B,L1,7,1,male,36,correct,Personally knowing probabilities of an outcome usually ends up with me being on the losing side. I would prefr not to know anything about chances and just let it be.
sp3j35yz0lj,L6B,L,6,B,L6,7,7,female,46,correct,I was thinking that it would be unfair if the odds favored one bank closing
334535yzcs5,L9B,L,9,B,L9,7,2,female,49,correct,"I chose the option because there was a chance that I will not be attacked with virus X, which will require a long time to fix the computer."
2vj435yzkeo,G3B,G,3,B,G3,7,2,female,34,correct,I would rather choose without knowing what the other boss preferred because it would cause too much stress. it's out of my hands anyway
n0l435yz4ff,L3A,L,3,A,L3,7,4,female,43,correct,"There doesn't seem to be an improved chance of making the right decision, so I was indifferent."
sgnz35yzgp0,L1B,L,1,B,L1,7,4,male,34,correct,NA
4i2p35yzu3y,G10B,G,10,B,G10,7,6,female,56,correct,I chose that answer because it gave me even odds. I would have a fifty-fifty chance of running into my crush no matter which parry I chose.
mwy235yz7um,L10B,L,10,B,L10,7,6,female,31,correct,I was thinking that I would like to know my percentage of dying.
uffa35yz35h,L10A,L,10,A,L10,7,4,female,41,correct,NA
dhmu35yzk10,G3B,G,3,B,G3,7,5,male,25,correct,NA
7id035yzuih,L12A,L,12,A,L12,7,7,male,40,correct,"If I knew the odds of winning, and they were only 50%, I would be very nervous about the election. It would also be quite discouraging to feel that I had no advantage over my opponent as a long serving mayor. If I didn't know the odds of winning, I would feel much more confident and encouraged, whether it was realistic or not. Just the confidence and positivity that I would have would certainly help my chances of winning."
34d835yzmpz,L12A,L,12,A,L12,7,2,male,39,correct,"I chose the 50 50 option because the other was very vague, I understand that it really didnt matter, but atleast 50/50 is a concept I can grasp easier than just being wishy washy about it."
h37n35yzqav,G10B,G,10,B,G10,7,4,female,24,correct,NA
msp835yz55u,G1B,G,1,B,G1,7,7,female,49,correct,I figured if the odds weren't known that it was probably because the odds of winning were very low and I would be better off with a 50/50 chance.
yfuw35yz7np,G7A,G,7,A,G7,1,4,male,32,correct,NA
dkd535yzckv,G9B,G,9,B,G9,7,7,male,31,correct,It just felt right and be the better of the two choices.
nmov35yzytc,G11A,G,11,A,G11,7,4,male,39,correct,Since there is a equal chance for both as well as you can not be at both the places. It does not matter which is your preferred one.
zjeo35yzfzc,L5A,L,5,A,L5,7,2,female,34,correct,I would rather have t least 50% chance of the stock I have already doing well.
wjhq35yz9oy,G7A,G,7,A,G7,7,3,male,29,correct,NA
ocd535yz0p9,L4A,L,4,A,L4,7,3,male,45,correct,I would rather know the percentages than not.
640p35yzvpk,L9A,L,9,A,L9,7,2,male,50,correct,I felt it was better knowing a bit about the chances.
odyf35yzebq,G11B,G,11,B,G11,7,7,male,36,correct,a 50:50 ratio  gave me the better chance to spot the bird... none of the the scenarios could grant me a satisfying success rate though..
cpzi35yzgjl,G8B,G,8,B,G8,7,5,female,41,correct,NA
rmci35yzzwq,G4A,G,4,A,G4,7,4,female,45,correct,"The answers had the same practical application to my life. Whether the odds were certainly 50% or unknowable, my child would still have a 50% chance of pursuing the 'right' talent."
enz935yze1l,L11A,L,11,A,L11,7,1,male,40,incorrect,I made choice based on my previous experiences with luck.
o2xx35yzryq,G2B,G,2,B,G2,7,4,male,47,correct,"I didn't really care either way for the blind date question. While I want a date that is a beautiful, she would also make me feel self conscious and out of my league. Because of that, it is a toss-up whether I would prefer her or the average looking girl. The unknown percentage choice was as reasonable to me as the 50/50 one."
k75s35yz6em,L10B,L,10,B,L10,7,4,male,43,correct,"Without knowing the percentages in option A, there's no way of knowing which I would prefer."
0yyy35yzo0v,G10B,G,10,B,G10,1,6,male,36,correct,NA
1m3e35yz2ts,G8A,G,8,A,G8,7,6,male,40,correct,NA
mabp35yzk4j,G2B,G,2,B,G2,7,6,female,28,correct,an ugly person could have a much more attractive personality. So it really didn't matter to me
mok035yzyrl,G8B,G,8,B,G8,7,3,female,60,correct,"That was a tough one. I was hoping the probability would be higher for the person I have the romantic interest in, rather than 50/50. Still it's a gamble."
ua8w35yz47c,L7B,L,7,B,L7,7,4,male,24,correct,"I was thinking to myself that statistically, both options are essentially the same; one said that I know the odds are 50/50 and the other said I didn't know the odds. Given this lack of information and only two possibilities, then it is essentially a 50/50 possibility regardless. Because of this I had no preference between the two options."
y6s835yzz2h,G4A,G,4,A,G4,7,2,female,33,correct,NA
k8v035yzw5x,G8A,G,8,A,G8,7,3,female,38,correct,NA
2utk35yz3l9,L12B,L,12,B,L12,1,6,female,33,correct,"I'm really not totally sure how I would feel. The A option would more than likely make me crazy, though."
mymz35yzr83,L1A,L,1,A,L1,7,3,male,28,correct,NA
n7kq35yzbrx,L2A,L,2,A,L2,7,4,female,34,correct,I was thinking that the probability didn't really matter.
nha635yzuxd,L11A,L,11,A,L11,3,5,male,42,correct,NA
th2v35yz7lu,G3B,G,3,B,G3,7,5,female,41,correct,NA
vcn735yz553,L3B,L,3,B,L3,7,4,female,33,correct,I had no preference. I went back and forth but neither situation is better than the other. I'll just go in blind.
zuyl35yztox,G3B,G,3,B,G3,7,4,female,56,correct,"Since there is a 50/50 chance one or the other departments will be supported, it does not matter which department I go."
ygcg35yzpo5,G8A,G,8,A,G8,7,3,male,36,correct,NA
jdrv35yzmif,G10B,G,10,B,G10,7,7,female,29,correct,"There are two parties and I figured one party is better than the other,so my crush should be there."
a8gy35yzprm,G10A,G,10,A,G10,7,1,male,28,correct,Because I have the same chances of meeting them at either party.
qwbd35yzq8j,G11B,G,11,B,G11,7,7,male,35,correct,NA
5jol35yzcmj,G6B,G,6,B,G6,7,6,male,55,correct,"The reasoning for me was simple.  Without knowing which company would have a more significant chance of receiving the investment, I would rather have an even chance of picking the right company."
8cr035yze0x,G8A,G,8,A,G8,7,2,male,34,correct,50/50 are much better odds than an unknown quantity so I would prefer A
ojqf35yzcvg,G5A,G,5,A,G5,7,3,male,28,correct,I felt more comfortable in a situation where taking the gamble came down to 50/50 and I knew where I stood with the gamble. Not knowing the probability of either made me slightly uncomfortable with the prospect of being in that situation.
ro2n35yzm5t,L7A,L,7,A,L7,7,1,male,30,correct,"I would rather know the odds than not know the odds, even if the unknown might be preferable."
i94035yz5ze,L10B,L,10,B,L10,7,1,female,49,correct,"If I knew how much percentage chance I had of contracting the pathogen, it will be difficult for me emotionally. So I would rather prefer that I did not know how much chance I had for acquiring the pathogen."
m1oi35yz4cy,L9B,L,9,B,L9,7,6,male,55,correct,NA
40js35yzwpg,G3A,G,3,A,G3,7,4,male,46,correct,NA
ylxc35yzuwt,L10B,L,10,B,L10,5,4,female,45,correct,NA
bukf35yzagj,G6A,G,6,A,G6,3,5,female,35,incorrect,NA
xo2935yzpx3,L11B,L,11,B,L11,7,3,female,55,correct,I choose slightly A because the odds may be better that the hailstorm did not hit the carpark.
yk1e35yzqcg,G10B,G,10,B,G10,6,7,female,42,correct,NA
l56b35yz2i9,L1B,L,1,B,L1,7,4,male,34,correct,I feel like they're pretty much equivalent.
ol8g35yzl2p,L7B,L,7,B,L7,7,7,female,23,correct,NA
pxiq35yzrna,L2A,L,2,A,L2,7,4,female,43,correct,"Neither option was very good, they had the same likelihood"
prhp35yz2ce,G3B,G,3,B,G3,2,2,female,36,incorrect,NA
nbe135yzv3l,L9A,L,9,A,L9,7,3,male,29,correct,NA
k07m35yzohe,G3A,G,3,A,G3,7,4,female,33,correct,I don't think it made a difference
y34v35yz249,L10A,L,10,A,L10,7,5,male,43,correct,"I was thinking that in situation B there could be a more than 50 percent chance it was the benign none. But, maybe it would go against me too."
69zh35yz7n3,L11B,L,11,B,L11,7,4,female,35,correct,"50/50 is up to chance, and unknown percentages (in situation A) are also up to chance. Therefore, both scenarios seem exactly the same to me, and I am indifferent between them."
amwe35yzgcz,L4B,L,4,B,L4,7,6,male,53,correct,NA
511635yz7ml,L2A,L,2,A,L2,7,4,female,44,correct,I think things turning out how I would want them to would be just as likely with either choice.
2j5u35yzst2,L8B,L,8,B,L8,7,4,male,24,correct,NA
o85b35yzzhf,G11A,G,11,A,G11,7,2,female,35,correct,I would probably rather there be a 50/50 shot at seeing the bird and to know that than to have there be more like an 80/20 chance but not know which was which and possibly go to the 20% chance place.
e2wd35yzpxb,G6A,G,6,A,G6,7,4,male,33,correct,NA
qb8o35yzilw,L3A,L,3,A,L3,7,6,male,32,correct,NA
yhoj35yzhl1,G6A,G,6,A,G6,7,3,female,46,correct,NA
azcu35yzhyq,L1B,L,1,B,L1,7,7,female,33,correct,NA
etrl35yznvv,G12B,G,12,B,G12,7,4,male,45,correct,"Because neither option gave me a solid outcome, and with a 50% probability, I am indifferent about which one I would do."
d7hv35yzyn7,L10B,L,10,B,L10,7,5,female,29,correct,"I chose that I slightly preferred option B. I thought that I would be more scared of the unknown, rather than a 50/50 chance."
ak3935yzejp,L7B,L,7,B,L7,7,4,female,60,correct,NA
z3xr35yz3dd,G1B,G,1,B,G1,7,6,female,38,correct,I thought a 50/50 probability was likely the best option for success.
hyy935yzdqy,G12A,G,12,A,G12,7,4,female,36,correct,NA
gx6335yz6yo,L7A,L,7,A,L7,7,3,female,35,correct,"I feel like 50/50 odds might have been better than the unknown, but its also possible its not."
9wpg35yzvzv,G9A,G,9,A,G9,7,1,male,41,correct,At least I know that there is a 50% of winning.
dcy135yzmk0,G2B,G,2,B,G2,7,5,female,35,correct,It was a blind date anyways and I would prefer to know the odds.
5n6l35yz5gw,G12B,G,12,B,G12,7,4,female,64,correct,I was thinking that I would rather know the odds (50/50) than not know the odds
rfy635yzov4,L8A,L,8,A,L8,7,6,female,55,correct,50% sounds scary even if true
u9o635yzmq6,L9A,L,9,A,L9,5,4,male,26,correct,NA
v03f35yzmue,L1A,L,1,A,L1,7,4,female,42,correct,"The question was phrased as having to pick between 2 colors. The choices were really up to chance, so in this case it would not really matter between ""A"" or ""B""."
whyw35yzo93,G8B,G,8,B,G8,7,5,male,27,correct,I'd slightly rather the known 50/50 shot at friend X reciprocating my feelings than the unknown percentile as I don't have the best luck with seemingly random things like that.
c21q35yzxt8,L1B,L,1,B,L1,7,5,male,29,correct,I was thinking the opposing scenario could have a probability as bad as 0% chance to avoid losing $1000.
n0rk35yzsvh,L10B,L,10,B,L10,7,4,male,25,correct,NA
jpop35yzpio,L4A,L,4,A,L4,7,2,male,53,correct,There is a chance that the program that my child plans to attend will not be discontinued. I was hoping that the program which my child plans to attend will not be discontinued.
5r1635yz2w2,G2B,G,2,B,G2,7,7,female,49,correct,"I wasn't concerned about the attractiveness of the dates, so a 50/50 chance with either was fine with me."
ocys35yzioh,L2B,L,2,B,L2,7,5,male,63,correct,A fifty fifty chance seemed better than a possibly large percentage for the unattractive date.
hnai35yzfgs,G8A,G,8,A,G8,6,3,male,33,incorrect,NA
1umb35yzizc,G6B,G,6,B,G6,7,4,male,33,correct,NA
6wvl35yzz3a,L8B,L,8,B,L8,7,6,female,37,correct,NA
cgcg35yzrgx,G9B,G,9,B,G9,7,5,female,26,correct,I decided that a 50-50 chance is slightly better than not knowing my chances in the other hypothetical situation.
ra3135yzz1z,L8B,L,8,B,L8,7,3,female,38,correct,I was holding on to the hope that the odds could possibly be higher in my favor rather than 50/50
inoq35yz16b,L6A,L,6,A,L6,7,3,female,29,correct,"I was thinking at first how I'd feel about knowing if my branch was closing, but then I realized I didn't want to be stuck at a branch that was maybe 90% chance of closing, I'd rather risk the 50/50 chance and be aware of it."
25ux35yzmn4,G6A,G,6,A,G6,7,6,female,55,correct,50% sounds scary even if true
0q5n35yzyh5,L1B,L,1,B,L1,7,4,male,37,correct,Because it doesnt matter which answer i picked as it doesnt change the outcome that you are probably gonna lose 1000 dollars.
jewr35yzza6,G1A,G,1,A,G1,7,1,male,47,correct,"The alternative had no odds whatsoever, so there could have been 999 red balls or only 1. I'd rather go with a known probability of 50%."
i27235yzegr,G1A,G,1,A,G1,7,2,female,61,correct,the unknown probabilities could be really bad
bav835yzfhh,L5A,L,5,A,L5,7,4,female,32,correct,Because I think that the chances of the stock plummeting could have been identical because I did not know the percentages for the second option.
pngk35yzaep,L7A,L,7,A,L7,7,5,male,24,correct,NA
3qm535yzcpe,L11A,L,11,A,L11,7,4,male,33,correct,"I would prefer to gamble on there being a less than 50% risk my car would be damaged, but my willingness to take that risk only goes so far."
6agi35yzb45,L9B,L,9,B,L9,7,7,male,24,correct,NA
8mri35yzmxe,L5B,L,5,B,L5,7,4,male,27,correct,To me both situation were the same and it didnt matter to me which way I chose.
atro35yz132,G7B,G,7,B,G7,7,4,male,45,correct,"The options were either 50% or ""Unknown"" which could have been a certainty, but I had no way of knowing either way. So, it was options are 50% or picking between two faced down cards, essentially."
87et35yzml5,L10A,L,10,A,L10,7,6,female,69,correct,I think I'd rather not know the percentages.
29gt35yzbt7,L8B,L,8,B,L8,7,6,male,38,correct,I dislike taking chances with unknown variables so I would probably prefer the 50-50% situation.
m0iz35yzdx8,L8A,L,8,A,L8,7,3,male,59,correct,I was thinking about the odds of having received a lethal bite going up.
3jxw35yzq3f,G9B,G,9,B,G9,7,4,male,41,correct,The exact results of the protocol are unknown so it did not matter which scenario I chose.
oa0j35yzv19,L2A,L,2,A,L2,7,2,male,55,correct,NA
mtse35yz6ta,L8A,L,8,A,L8,7,1,male,24,correct,NA
b07g35yzn7a,G10B,G,10,B,G10,1,4,female,38,correct,Both scenarios would have similar outcomes.
hpum35yzit2,G11B,G,11,B,G11,6,3,female,48,correct,NA
0fc135yzdcn,G7A,G,7,A,G7,7,2,male,27,correct,"It was tough , but I would rather have a 50/50 choice and know the actual odds than having completely no idea what the odds are."
bfbc35yz8z2,L8A,L,8,A,L8,7,3,female,42,correct,Not knowing the probability for the second option means that the lethal snake could have had a high probability of being the snake that bit me. I thought maybe I was better off with 50/50 in that case.
a0pt35yz7np,G8B,G,8,B,G8,1,2,female,41,correct,NA
