"","subject","condition","vignetteType","vignetteNumber","answerOrder","dummyVignetteAnswer","vignetteAnswer","gender","age","postquestion1","postquestion2"
"176","bukf35yzagj","G2A","G",2,"A","3","5","female","35","incorrect",""
"177","xo2935yzpx3","L8B","L",8,"B","7","3","female","55","correct","I choose slightly A because the odds may be better that the hailstorm did not hit the carpark."
"178","yk1e35yzqcg","G6B","G",6,"B","6","7","female","42","correct",""
"179","l56b35yz2i9","L7B","L",7,"B","7","4","male","34","correct","I feel like they're pretty much equivalent."
"180","ol8g35yzl2p","L3B","L",3,"B","7","7","female","23","correct",""
"181","pxiq35yzrna","L6A","L",6,"A","7","4","female","43","correct","Neither option was very good, they had the same likelihood"
"182","prhp35yz2ce","G3B","G",3,"B","2","2","female","36","incorrect",""
"183","nbe135yzv3l","L4A","L",4,"A","7","3","male","29","correct",""
"184","k07m35yzohe","G3A","G",3,"A","7","4","female","33","correct","I don't think it made a difference"
"185","y34v35yz249","L5A","L",5,"A","7","5","male","43","correct","I was thinking that in situation B there could be a more than 50 percent chance it was the benign none. But, maybe it would go against me too. "
"186","69zh35yz7n3","L8B","L",8,"B","7","4","female","35","correct","50/50 is up to chance, and unknown percentages (in situation A) are also up to chance. Therefore, both scenarios seem exactly the same to me, and I am indifferent between them."
"187","amwe35yzgcz","L11B","L",11,"B","7","6","male","53","correct",""
"188","511635yz7ml","L6A","L",6,"A","7","4","female","44","correct","I think things turning out how I would want them to would be just as likely with either choice."
"189","2j5u35yzst2","L2B","L",2,"B","7","4","male","24","correct",""
"190","o85b35yzzhf","G11A","G",11,"A","7","2","female","35","correct","I would probably rather there be a 50/50 shot at seeing the bird and to know that than to have there be more like an 80/20 chance but not know which was which and possibly go to the 20% chance place."
"191","e2wd35yzpxb","G2A","G",2,"A","7","4","male","33","correct",""
"192","qb8o35yzilw","L12A","L",12,"A","7","6","male","32","correct",""
"193","yhoj35yzhl1","G2A","G",2,"A","7","3","female","46","correct",""
"194","azcu35yzhyq","L7B","L",7,"B","7","7","female","33","correct",""
"195","etrl35yznvv","G12B","G",12,"B","7","4","male","45","correct","Because neither option gave me a solid outcome, and with a 50% probability, I am indifferent about which one I would do."
"196","d7hv35yzyn7","L5B","L",5,"B","7","5","female","29","correct","I chose that I slightly preferred option B. I thought that I would be more scared of the unknown, rather than a 50/50 chance."
"197","ak3935yzejp","L3B","L",3,"B","7","4","female","60","correct",""
"198","z3xr35yz3dd","G10B","G",10,"B","7","6","female","38","correct","I thought a 50/50 probability was likely the best option for success."
"199","hyy935yzdqy","G12A","G",12,"A","7","4","female","36","correct",""
"200","gx6335yz6yo","L3A","L",3,"A","7","3","female","35","correct","I feel like 50/50 odds might have been better than the unknown, but its also possible its not."
"201","9wpg35yzvzv","G5A","G",5,"A","7","1","male","41","correct","At least I know that there is a 50% of winning."
"202","dcy135yzmk0","G8B","G",8,"B","7","5","female","35","correct","It was a blind date anyways and I would prefer to know the odds."
"203","5n6l35yz5gw","G12B","G",12,"B","7","4","female","64","correct","I was thinking that I would rather know the odds (50/50) than not know the odds"
"204","rfy635yzov4","L2A","L",2,"A","7","6","female","55","correct","50% sounds scary even if true"
"205","u9o635yzmq6","L4A","L",4,"A","5","4","male","26","correct",""
"206","v03f35yzmue","L7A","L",7,"A","7","4","female","42","correct","The question was phrased as having to pick between 2 colors. The choices were really up to chance, so in this case it would not really matter between ""A"" or ""B""."
"207","whyw35yzo93","G4B","G",4,"B","7","5","male","27","correct","I'd slightly rather the known 50/50 shot at friend X reciprocating my feelings than the unknown percentile as I don't have the best luck with seemingly random things like that."
"208","c21q35yzxt8","L7B","L",7,"B","7","5","male","29","correct","I was thinking the opposing scenario could have a probability as bad as 0% chance to avoid losing $1000."
"209","n0rk35yzsvh","L5B","L",5,"B","7","4","male","25","correct",""
"210","jpop35yzpio","L11A","L",11,"A","7","2","male","53","correct","There is a chance that the program that my child plans to attend will not be discontinued. I was hoping that the program which my child plans to attend will not be discontinued."
"211","5r1635yz2w2","G8B","G",8,"B","7","7","female","49","correct","I wasn't concerned about the attractiveness of the dates, so a 50/50 chance with either was fine with me."
"212","ocys35yzioh","L6B","L",6,"B","7","5","male","63","correct","A fifty fifty chance seemed better than a possibly large percentage for the unattractive date."
"213","hnai35yzfgs","G4A","G",4,"A","6","3","male","33","incorrect",""
"214","1umb35yzizc","G2B","G",2,"B","7","4","male","33","correct",""
"215","6wvl35yzz3a","L2B","L",2,"B","7","6","female","37","correct",""
"216","cgcg35yzrgx","G5B","G",5,"B","7","5","female","26","correct","I decided that a 50-50 chance is slightly better than not knowing my chances in the other hypothetical situation."
"217","ra3135yzz1z","L2B","L",2,"B","7","3","female","38","correct","I was holding on to the hope that the odds could possibly be higher in my favor rather than 50/50"
"218","inoq35yz16b","L10A","L",10,"A","7","3","female","29","correct","I was thinking at first how I'd feel about knowing if my branch was closing, but then I realized I didn't want to be stuck at a branch that was maybe 90% chance of closing, I'd rather risk the 50/50 chance and be aware of it."
"219","25ux35yzmn4","G2A","G",2,"A","7","6","female","55","correct","50% sounds scary even if true "
"220","0q5n35yzyh5","L7B","L",7,"B","7","4","male","37","correct","Because it doesnt matter which answer i picked as it doesnt change the outcome that you are probably gonna lose 1000 dollars."
"221","jewr35yzza6","G10A","G",10,"A","7","1","male","47","correct","The alternative had no odds whatsoever, so there could have been 999 red balls or only 1. I'd rather go with a known probability of 50%."
"222","i27235yzegr","G10A","G",10,"A","7","2","female","61","correct","the unknown probabilities could be really bad"
"223","bav835yzfhh","L1A","L",1,"A","7","4","female","32","correct","Because I think that the chances of the stock plummeting could have been identical because I did not know the percentages for the second option."
"224","pngk35yzaep","L3A","L",3,"A","7","5","male","24","correct",""
"225","3qm535yzcpe","L8A","L",8,"A","7","4","male","33","correct","I would prefer to gamble on there being a less than 50% risk my car would be damaged, but my willingness to take that risk only goes so far."
"226","6agi35yzb45","L4B","L",4,"B","7","7","male","24","correct",""
"227","8mri35yzmxe","L1B","L",1,"B","7","4","male","27","correct","To me both situation were the same and it didnt matter to me which way I chose. "
"228","atro35yz132","G7B","G",7,"B","7","4","male","45","correct","The options were either 50% or ""Unknown"" which could have been a certainty, but I had no way of knowing either way. So, it was options are 50% or picking between two faced down cards, essentially."
"229","87et35yzml5","L5A","L",5,"A","7","6","female","69","correct","I think I'd rather not know the percentages."
"230","29gt35yzbt7","L2B","L",2,"B","7","6","male","38","correct","I dislike taking chances with unknown variables so I would probably prefer the 50-50% situation."
"231","m0iz35yzdx8","L2A","L",2,"A","7","3","male","59","correct","I was thinking about the odds of having received a lethal bite going up."
"232","3jxw35yzq3f","G5B","G",5,"B","7","4","male","41","correct","The exact results of the protocol are unknown so it did not matter which scenario I chose."
"233","oa0j35yzv19","L6A","L",6,"A","7","2","male","55","correct",""
"234","mtse35yz6ta","L2A","L",2,"A","7","1","male","24","correct",""
"235","b07g35yzn7a","G6B","G",6,"B","1","4","female","38","correct","Both scenarios would have similar outcomes."
"236","hpum35yzit2","G11B","G",11,"B","6","3","female","48","correct",""
"237","0fc135yzdcn","G7A","G",7,"A","7","2","male","27","correct","It was tough , but I would rather have a 50/50 choice and know the actual odds than having completely no idea what the odds are. "
