subject,condition,vignetteType,vignetteNumber,Start100,vignette,dummyConfidence,dummyXprob,dummyYprob,vignetteConfidence,vignetteXprob,vignetteYprob,gender,age,postQuestion1,postQuestion2
2njd35yz4b1,G12x,G,12,x,G12,4,90,10,2,50,50,male,40,correct,NA
5xin35yzdqu,G8y,G,8,y,G8,3,85,15,0,50,50,male,41,correct,I gave it a 50-50 chance of happening because there was not enough information to make any other decision.
q1lr35yzyu4,G3x,G,3,x,G3,4,99,1,2,30,70,female,38,correct,"I would be somewhat unsure of taking word of mouth ""possibilities"" from coworkers in the workplace. However, I  rated the likelyhood as high as I did because the information came from a source that would be more likely to have credible information."
0sn635yzuva,L5y,L,5,y,L5,3,90,10,3,50,50,male,56,correct,"I actually tried to choose ""extremely confident"" but the survey wouldn't let me.  I got a pop up asking me to please answer the second question.  As to why I answered the way that I did.  The scenario given basically said that although one of the stocks would plummet and the other would rise, there was no way to predict which was which.  With that in mind, it was obviously a toss up so I answered 50/50 and wanted to answer extremely confident."
ok4d35yzh8e,L11y,L,11,y,L11,1,69,31,2,49,51,male,23,correct,NA
3a5e35yzd1z,L4y,L,4,y,L4,4,0,100,2,50,50,male,33,correct,NA
eeyi35yzt11,G7x,G,7,x,G7,3,89,11,3,50,50,male,36,correct,There was no clear answer to which way it would go.
ujh435yz632,G10y,G,10,y,G10,4,95,5,0,50,50,female,23,correct,NA
9z2735yzemv,L4y,L,4,y,L4,4,100,0,3,100,0,male,44,correct,NA
fd6w35yztdx,G1y,G,1,y,G1,4,99,1,3,2,98,female,55,correct,If I have something to do outside it is going to rain and I would never win $1000
81dy35yz69y,L11x,L,11,x,L11,3,93,7,2,73,27,female,58,correct,"Airport area can be large, so there's a small change that the airport car park was not affected by the hailstorm."
spds35yz7iz,L6y,L,6,y,L6,3,85,15,2,50,50,female,65,correct,it is likely that either branch will close. Since I didn't have any information on each banks location or performance I considered it even odds that it could be either bank equally.
8zyy35yzwpt,L2x,L,2,x,L2,3,85,15,3,50,50,female,54,correct,NA
i7ku35yz2qw,G10y,G,10,y,G10,3,74,26,3,50,50,female,50,correct,"Question 1 - I am usually right about the weather because I can feel it in my head.

Question 2 - There is really no way to know."
3kh635yzg8o,G8y,G,8,y,G8,3,43,57,1,27,73,male,25,incorrect,NA
vvo235yzm8r,G11y,G,11,y,G11,3,85,15,2,50,50,female,30,correct,NA
291a35yzgw3,L6y,L,6,y,L6,3,80,20,2,50,50,female,37,correct,NA
td2535yz3dc,L5y,L,5,y,L5,2,20,80,2,48,52,female,30,correct,NA
1emu35yz5ea,G12y,G,12,y,G12,4,94,6,2,50,50,male,25,correct,NA
owkv35yz9oc,G8x,G,8,x,G8,2,86,14,2,50,50,male,56,correct,"I thought there wasn't enough information to necessarily favor one possibility over the other, so I chose 50/50 odds."
oza035yzrlg,G3y,G,3,y,G3,3,80,20,1,50,50,male,30,correct,NA
cfsi35yzodt,G5x,G,5,x,G5,4,100,0,3,90,10,female,59,correct,"Even with a ""reliable tip,"" the stock market is somewhat unpredictable, and individual stocks especially can be influenced by outside and/or unknown events."
p49n35yzk7o,L9x,L,9,x,L9,4,95,5,3,50,50,male,48,correct,It really is a 50/50 situation. It can not be determined without further diagnosis.
s5ou35yzfem,L8x,L,8,x,L8,4,90,10,3,25,75,male,32,correct,"***I wanted to select extremely confident but I wasn't allowed. A popup kept coming up saying please answer the 2nd question.***

I wouldn't purposely put myself in danger knowing there is a high risk of being bitten by a lethal snake. I probably would be dead already if it was lethal.

"
uxw035yz3kj,G9y,G,9,y,G9,4,94,6,3,49,51,male,52,correct,NA
jmkp35yzz7n,L1y,L,1,y,L1,3,80,20,3,50,50,male,33,correct,NA
nb7c35yz486,G3y,G,3,y,G3,3,85,15,3,50,50,female,38,correct,"There was really no information to make one more likely than the other, so to me, it was a completely 50/50 chance."
oszu35yzb3j,L1y,L,1,y,L1,0,97,3,0,50,50,male,35,correct,"I had no reason to choose *any* answer over any other, but equally likely seemed as good an answer as any other."
k0o235yz30d,G6x,G,6,x,G6,3,100,0,3,50,50,male,33,correct,NA
f7oj35yz7re,G6x,G,6,x,G6,4,96,4,3,94,6,male,71,correct,NA
duua35yzm1f,G8y,G,8,y,G8,4,88,12,3,55,45,female,41,correct,Initial odds would be 50/50 since it was one of the two people but since I have a crush on 'X' I likely show more interest in them and am trying harder to make a better impression with that person so they are slightly more likely to have a more positive opinion of me.
530x35yzped,G10y,G,10,y,G10,4,99,1,1,40,60,female,50,correct,"If I knew whose party it was, and where it was, I would be able to give a more accurate assessment of what my crush is likely to do. But without details, I just went for 60/40, figuring one option is more likely than the other."
gw5035yzbyj,L12y,L,12,y,L12,4,94,6,3,50,50,female,41,correct,It seemed like it could either way with the election so I said 50/50.
b6m535yzurq,L7x,L,7,x,L7,4,100,0,2,73,27,female,36,correct,NA
5u1m35yzayd,L7x,L,7,x,L7,3,85,15,1,50,50,male,29,correct,I made it 50-50 because there is no way of knowing for sure. I was thinking if it was a trick question and if I am missing something and if there is a clever solution
xs8r35yzkj7,G1y,G,1,y,G1,3,90,10,3,5,95,male,39,correct,NA
c86l35yzkzc,L7x,L,7,x,L7,3,75,25,1,20,80,female,55,correct,How likely is that in my area? Something so destructive would be well known in my area.
iae535yzetq,G12x,G,12,x,G12,3,80,20,0,50,50,female,61,correct,NA
i3gh35yziba,L5x,L,5,x,L5,3,85,15,1,50,50,female,39,correct,I had no information on the probabilities so i went with 50% each. That's a best guess in that situation.
0jm635yzs1w,L9y,L,9,y,L9,3,85,15,2,50,50,female,48,correct,NA
kz0q35yzy6a,L12x,L,12,x,L12,4,95,5,2,50,50,male,27,correct,"Based off the reading, the current mayor seemed to think there was a chance that he would lose. I put the odds at 50/50."
44ha35yz3ko,G9x,G,9,x,G9,3,86,14,2,51,49,female,42,correct,NA
t3ub35yzha6,L12x,L,12,x,L12,4,90,10,3,77,23,female,68,correct,"I have a hunch the voters are interested in a change, since the incumbent has been in office for 5 terms."
uhws35yzirh,G6y,G,6,y,G6,3,80,20,3,50,50,female,49,correct,"I assumed since I applied for the positions, they are both similar companies. Possibly so similar that one doesn't stand out over the other when trying to determine which company it is. Therefore, I put it at a safe 50/50."
4izj35yzlov,L8y,L,8,y,L8,3,90,10,0,33,67,male,56,correct,"Because harmless snakes seem to be the majority in most places.  If the majority of snakes were poisonous, there's be more dethes than there are."
rrwa35yzu5k,G10y,G,10,y,G10,2,65,35,1,85,15,female,48,correct,"Unless my crush happens to be very young and likes to party-hop, chances are that he will go to one and stay there. Not run to the other one. unless, he happens to want to see me and is also going to both to see which one that I'm at."
nzbi35yzgjm,L4x,L,4,x,L4,3,80,20,2,70,30,female,39,correct,"I found this one a tough one, I just relied on my intuition but I can't be sure of the outcomes."
ecn435yzxum,G6x,G,6,x,G6,3,78,22,0,50,50,female,27,correct,NA
2qri35yz9vp,G1y,G,1,y,G1,3,80,20,2,14,86,male,33,correct,the chance to win that much money would obviously be low. it would be rigged most likely.
9iis35yzlby,G3y,G,3,y,G3,3,85,15,1,50,50,female,46,correct,NA
ed2s35yzkc2,G3y,G,3,y,G3,3,75,25,4,50,50,female,44,correct,I chose a 50/50 split because no other information was given. It could go equally either way because of how the question was phrased.
3j8f35yzwn8,L3y,L,3,y,L3,4,100,0,3,50,50,male,29,correct,NA
rwr635yz0pa,L1x,L,1,x,L1,3,80,20,2,50,50,female,22,correct,I thought I had a 50/50 chance since it was only two different balls.
asd135yz6eh,L5y,L,5,y,L5,4,97,3,3,50,50,female,45,correct,I feel each had a 50% chance because I was not given any specific information on either stock.
au8w35yz1ag,L5x,L,5,x,L5,4,93,7,3,80,20,male,25,correct,NA
fwck35yzurb,L5y,L,5,y,L5,3,85,15,3,51,49,female,56,correct,"I had no additional information, so it seemed to me that either stock could plummet and the odds would be pretty much 50-50 as to which one it would be."
madj35yzzh2,G7y,G,7,y,G7,3,75,25,1,30,70,female,33,correct,"I have bad luck when it comes to things like that and if I were making a similar decision, 20% is the maximum I would trust such a thing to happen."
xve835yz44b,G12y,G,12,y,G12,4,1,99,2,25,75,female,32,correct,NA
ejar35yzhch,L7y,L,7,y,L7,3,91,9,2,55,45,female,32,correct,NA
g02235yzvln,L1x,L,1,x,L1,3,85,15,0,50,50,male,76,correct,%age of red:yellow unstated.. assuming 50-50 but not at all sure.
0t1h35yzp87,L11x,L,11,x,L11,3,85,15,1,60,40,male,40,correct,NA
hm5035yzs4j,L12y,L,12,y,L12,4,95,5,2,70,30,female,34,correct,"You said the other guy was a ""surprisingly powerful challenger"" so..."
ten835yz851,G10x,G,10,x,G10,4,95,5,3,75,25,female,48,correct,"I think that my crush already has in mind what party they will be attending, even if I don't personally know which one, so the probability if much higher that they attend one over the other."
zcty35yzvs3,G8x,G,8,x,G8,4,80,20,2,55,45,male,39,correct,My choices were slightly biased on what I want.
cg2c35yz4xp,G9y,G,9,y,G9,3,96,4,1,50,50,male,40,correct,One choice was not described as being better than the other.
rr5p35yzsza,L12x,L,12,x,L12,4,90,10,2,40,60,male,23,correct,NA
ndlt35yzuit,G5y,G,5,y,G5,3,80,20,2,12,88,female,48,correct,NA
xy9q35yzzbf,L2x,L,2,x,L2,3,79,21,2,52,48,female,35,correct,NA
5yvm35yzor2,G11x,G,11,x,G11,2,85,15,1,49,51,female,45,correct,I thought the last one could defintely go either way.
jzgm35yznae,G4y,G,4,y,G4,4,95,5,3,50,50,female,42,correct,NA
gk1435yzsp7,L2x,L,2,x,L2,3,90,10,2,28,72,male,35,correct,NA
9uve35yznn5,L4y,L,4,y,L4,2,59,41,3,68,32,male,46,correct,I guessed that one activity (X) would be dropped.I was thinking that at least one of the two would be dropped because schools sometimes drop activities for lack of funds.
mntz35yzcdw,L9x,L,9,x,L9,3,95,5,3,50,50,female,57,correct,there was no other data so I went with 50/50
r46935yzn24,G4y,G,4,y,G4,4,90,10,3,50,50,female,35,correct,"It seemed like a trick question. Most, if not all of the other sections used the word ""likelihood"" but this one used the word ""probability."" Those are not synonyms."
qs9j35yzwal,L5x,L,5,x,L5,3,90,10,0,50,50,male,33,correct,NA
izex35yzpxm,G7y,G,7,y,G7,3,90,10,3,50,50,male,52,correct,NA
6n7h35yz84m,G2x,G,2,x,G2,4,85,15,3,50,50,female,37,correct,NA
vy2k35yz0ur,G6x,G,6,x,G6,3,83,17,2,50,50,female,56,correct,there was no indication either was more likely
b86u35yzlki,L1x,L,1,x,L1,3,100,0,0,50,50,female,32,correct,NA
0pyf35yzm0z,L6x,L,6,x,L6,3,85,15,2,50,50,male,37,correct,NA
93ly35yzyft,L1x,L,1,x,L1,3,70,30,0,50,50,male,41,correct,"Since the data was insufficient  to make  a decision, I went with least chance for failure."
stvw35yzd87,G3x,G,3,x,G3,2,82,18,0,50,50,male,37,correct,NA
3dvu35yzfsb,G1y,G,1,y,G1,3,95,5,1,33,67,male,36,correct,"The question was too vague for me (or anyone!) to answer with confidence.  Did the casino set this game up so that a player could only win by picking a red ball, or was each player allowed to choose which color they expected to pick?  This was a glaring detail that should have been included, because it would have affected how I answered.  If the casino only allowed red balls to win, as I was forced to assume, then there would clearly be less than 50% chance of a ball being red.  If players were allowed to choose for themselves, then there would probably have been a 50% chance of winning."
6x3n35yzkoe,G2y,G,2,y,G2,3,85,15,3,12,88,female,46,correct,NA
yerv35yz22s,L2x,L,2,x,L2,3,90,10,3,45,55,female,59,correct,NA
dcms35yzgdj,L8y,L,8,y,L8,3,89,11,1,49,51,male,31,correct,NA
dl6x35yzyjs,L4y,L,4,y,L4,4,100,0,3,50,50,male,25,correct,NA
15xy35yzluk,L5x,L,5,x,L5,3,97,3,3,95,5,female,50,correct,NA
kket35yz97e,L11y,L,11,y,L11,3,90,10,2,50,50,female,50,correct,NA
7j5y35yzv0v,L9y,L,9,y,L9,4,90,10,2,5,95,male,67,correct,"As I am very careful about my computer(s), I infer that I have a very mild form of virus that will only take an hour to remove.  I'd do it myself, but your instructions say otherwise.  Of course, Murphy might say otherwise..."
ah9n35yzn7l,L8x,L,8,x,L8,4,95,5,3,50,50,male,53,correct,NA
a85n35yzrnn,L5x,L,5,x,L5,4,100,0,2,50,50,female,56,correct,NA
sa2v35yzbz4,L3x,L,3,x,L3,3,80,20,3,95,5,female,41,correct,It said what was the probability that the budget would be slashed for one department.  It didn't specify if you thought that it was going to happen for x over y so I left the probability high
bhsg35yzk8y,G10x,G,10,x,G10,4,95,5,2,50,50,male,30,correct,NA
hzcr35yzn93,G5x,G,5,x,G5,4,91,9,0,50,50,male,33,correct,I didn't know which of the two stocks would skyrocket because he did not tell me when I was on the call with my broker so it's totally random.
8jv335yzsi1,L5y,L,5,y,L5,3,80,20,3,90,10,female,47,correct,It was an insider tip and more than likely it was a great tip to act on. I would not want to risk hoping it did not when I could have done something to keep me from losing money
l06335yzt1s,G9x,G,9,x,G9,3,83,17,0,60,40,female,29,correct,NA
peei35yz6zs,L7y,L,7,y,L7,4,85,15,0,50,50,male,22,correct,NA
4ip235yzu98,G1x,G,1,x,G1,3,86,14,2,50,50,female,28,correct,NA
3vzs35yz1mq,L4x,L,4,x,L4,4,95,5,3,55,45,male,31,correct,NA
zr8i35yz7kk,L12x,L,12,x,L12,3,97,3,2,44,56,male,32,correct,"I've won a lot of terms, but it is unclear how likely I am to win. There are candidates and it said the specific probabilities are not certain."
i5w735yz8pa,L8x,L,8,x,L8,4,97,3,2,50,50,male,27,correct,"I wanted to know how common each type of snake was, but that was not given. I would usually not try to assume the worst option (the lethal snake), but you need to be ready and prepared for the worse in that type of scenario, so I assumed that there was a 50/50 chance of either species."
m9w635yzvkb,G3x,G,3,x,G3,4,85,15,0,50,50,male,45,correct,NA
6fyz35yz10i,L2x,L,2,x,L2,3,74,26,3,19,81,female,49,correct,I dont generally find people as unattractive as others do.
8op835yzc3v,G6x,G,6,x,G6,4,95,5,2,50,50,female,33,correct,NA
4sa735yz0ps,L1x,L,1,x,L1,4,90,10,3,50,50,male,25,correct,NA
zupu35yzjfk,G8y,G,8,y,G8,3,85,15,1,40,60,male,32,correct,I considered my luck and the chances of something I want could actually happen felt low.
sdsk35yz5nh,L6x,L,6,x,L6,3,97,3,3,50,50,female,43,correct,Based on the scenario there was 50:50 chance that one of the branches will be closed. There was not enough information to make higher estimate. Both branches had an equal chance for closing.
he5035yzwfd,G10x,G,10,x,G10,4,90,10,2,50,50,female,31,correct,"I had no information about which party my crush is more likely to attend, so I had to choose 50/50. Thank you for this opportunity."
md8935yzn6p,L5x,L,5,x,L5,3,90,10,2,50,50,male,34,correct,"There wasn't much information given, so I thought 50/50 was a good guess."
p3vd35yzay4,L11y,L,11,y,L11,4,94,6,2,19,81,male,38,correct,NA
ji2435yziw8,L6y,L,6,y,L6,3,85,15,3,50,50,male,38,correct,I read it as what is possibility that either will close.  since there are 2 places and one will close it's 50/50.
v8cd35yz5km,L7x,L,7,x,L7,4,0,100,2,50,50,female,68,correct,NA
j0b435yzec0,L6x,L,6,x,L6,3,90,10,2,50,50,female,65,correct,"Without any further information, I have to assume it's a coin toss. There is no way to tell from the information given which branch is likely to close."
gb6n35yzi2g,L2y,L,2,y,L2,4,95,5,3,50,50,male,38,correct,I seemed to me that since it was two people and it was one or the other that a 50 50 split was a good choice.
vh2q35yznmb,G7x,G,7,x,G7,3,90,10,3,50,50,female,44,correct,NA
gvxk35yzuv2,L2y,L,2,y,L2,3,92,8,3,33,67,male,35,correct,NA
fezp35yz2uo,G4y,G,4,y,G4,4,100,0,3,100,0,female,59,correct,NA
yhjp35yz0nk,L6x,L,6,x,L6,3,95,5,3,50,50,female,45,correct,"One of them will close and it's unknown which one, so I think it's a 50/50 chance that either one will close."
zyy035yz0zj,L1y,L,1,y,L1,4,78,22,1,50,50,female,38,correct,The urn contained the same amount of red balls and yellow ball.
vb1z35yzoyc,G9x,G,9,x,G9,3,85,15,3,50,50,male,63,correct,"all i knew was that there were 2 options to pick from. there was no hint of one being better than the other. therefore, i chose 50/50."
fay735yz02g,L7x,L,7,x,L7,3,94,6,1,65,35,male,31,correct,NA
odfw35yz13e,G11y,G,11,y,G11,4,100,0,3,50,50,female,31,correct,I based on the the forecasting deduction. There are usually two clues that leads to my final decision.
o7rk35yz6k0,L11y,L,11,y,L11,4,85,15,3,60,40,male,59,correct,It said the hailstorm was near the airport but not exactly where. These storms tend to be strong but localized so I chose a slightly higher than average chance of damage.
8eny35yz7x6,G3y,G,3,y,G3,3,88,12,4,48,52,male,37,correct,It was equally likely that either department would be selected
7gpw35yzx9e,G11y,G,11,y,G11,3,89,11,1,50,50,female,36,correct,NA
f40235yz5md,L10y,L,10,y,L10,3,90,10,2,45,55,female,25,correct,NA
acot35yzlh4,G1y,G,1,y,G1,4,85,15,3,50,50,male,54,correct,"there were only 2 colors of balls, assuming that there were equal quantities of each then it is a 50-50 chance of it coming up red or yellow"
5o5m35yz9qj,L5y,L,5,y,L5,3,80,20,1,50,50,female,48,correct,"I chose 50/50 because I didn't know which would plummet, but I was only slightly confident in my answer because one of them is going to plummet and one is not (which means one should be 100% and the other 0% (I just didn't know which).  
"
cpuj35yzve6,G12y,G,12,y,G12,3,80,20,1,50,50,male,38,correct,I didn't have enough information about each drug so I was unsure.
k9ue35yzstx,G4y,G,4,y,G4,1,83,17,0,50,50,female,55,correct,"Since I had no other information to go on, I felt I had no choice but to choose 50/50. I wasn't confident though, because of course there had to be ""more"" to it than the donor flipping a coin to decide."
5nzq35yzoru,G11x,G,11,x,G11,4,90,10,3,50,50,male,42,correct,NA
sbf835yzrc9,L9y,L,9,y,L9,2,50,50,1,25,75,male,21,correct,"I was using wishful thinking actually; we as human beings always expect the best case scenario to happen, and the ''Y'' is the best one using this way of thinking."
7gsz35yzmzp,G12x,G,12,x,G12,4,90,10,3,51,49,male,37,correct,NA
w8ek35yz7sk,G9x,G,9,x,G9,4,80,20,3,100,0,female,52,correct,"The vignette stated that both will improve running time, but each one works for different people, and it was impossible to tell which one would work for me. So, that tells me one would work and the other wouldn't."
hiz035yzip1,G11y,G,11,y,G11,4,99,1,2,50,50,female,39,correct,NA
35md35yznpu,L3y,L,3,y,L3,3,92,8,2,50,50,female,34,correct,There was not enough information given to decide if one was more likely than the other.
phdu35yze97,G6x,G,6,x,G6,3,85,15,3,50,50,female,43,correct,NA
u51535yz10i,G5x,G,5,x,G5,3,75,25,3,50,50,female,31,correct,"It could easily be either, if he says ""one of""."
puah35yzawb,G10x,G,10,x,G10,4,91,9,3,94,6,female,37,correct,"The vignette did mention that the romantic crush was definitely supposed to attend one of the parties, without mentioning whether or not that person was to attend the other party, as well. So, it didn't seem as though that person attending two parties was even a consideration. However, a small percentage was left, given that there was no indication that the person would definitely attend only one of the parties"
3lns35yzn0k,G9y,G,9,y,G9,3,80,20,2,50,50,male,48,correct,"There were no real data points to go on, so either a protocol would work or would not."
te7z35yzhgf,G1y,G,1,y,G1,4,95,5,2,1,99,male,31,correct,NA
y5ww35yzs83,L10x,L,10,x,L10,3,81,19,1,44,56,male,75,correct,I wanted to be minimally optimistic that I had the non-lethal variety because I think positivity helps in overall health outcomes.
qx8m35yzs7n,L4x,L,4,x,L4,3,90,10,1,50,50,female,61,correct,There was no indication that one was more likely to be discontinued than the other so I guessed at a 50% chance for each.  I was thinking of which one would be more likely to be discontinued when I decided on that answer.
gla135yzq1f,L11y,L,11,y,L11,3,100,0,2,60,40,female,62,correct,"I was thinking about the hailstorm being nearby, so it isn't 100% certain that it will damage my car but there is a good possibility, more so than if it was in the next town."
326635yzatf,L2x,L,2,x,L2,4,90,10,2,50,50,female,36,correct,NA
nkq135yzyyn,G12x,G,12,x,G12,4,90,10,2,49,51,male,36,correct,"I actually was thinking of low probability of either drug working, that is probably less than 50 for one and less than 50 for the other, but since the bar was only for either/or, I just chose a place in the middle.  Both seemed sketchy and that there was no study to back up their efficacy so I chose how I did."
ucvm35yzxiz,G12y,G,12,y,G12,3,90,10,1,50,50,female,33,correct,NA
0ib435yzsie,L6x,L,6,x,L6,3,92,8,1,50,50,male,38,correct,"there are only two options and we don't have any other information, so the probability is a complete guess."
hskw35yzzib,G9y,G,9,y,G9,3,85,15,2,50,50,male,47,correct,NA
m28h35yz901,G1x,G,1,x,G1,4,94,6,3,2,98,male,70,correct,"I actually believe that the odds are 1 in a 1000 for picking a red ball because there are 1000 balls and the payout is $1000. However, the slide would not even allow me to select 1%, so I had to select 2% for my answer. 
I am still reasonably confident my my choice."
35ax35yzzt1,L9x,L,9,x,L9,3,95,5,3,50,50,male,35,correct,"There is no clear symptoms of whether it could be virus X or Y and there is no indication on how likely the computer is affected by Virus X or Y. So given the situation, I would choose there is equal chance of virus X or Y to be there. When I made the answer I was trying to see if there is any statement that could support whether virus X or Y is the likely cause."
yn8s35yzoqt,G12x,G,12,x,G12,3,70,30,3,50,50,female,48,correct,"Two drugs - one works, one doesn't, as described - that would make a 50% probabbility that the drug the student chose works on him specifiaclly, if I have read and understood the description correctly."
