content,date,exp
"{""subject"":""382q35yz9xb"",""condition"":""G12y"",""vignetteType"":""G"",""vignetteNumber"":12,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""3"",""vignetteXprob"":""65"",""vignetteYprob"":""35"",""gender"":""female"",""age"":""50"",""postQuestion1"":""correct"",""postQuestion2"":""I am not sure which of these drugs would work but anyway I chose drug X over drug Y. I cannot be completely sure that they work. So I chose the option that I believed in.""}",2019-11-18 05:00:01.926235,
"{""subject"":""14s135yzbho"",""condition"":""L12x"",""vignetteType"":""L"",""vignetteNumber"":12,""Start100"":""x"",""dummyConfidence"":""2"",""dummyXprob"":""50"",""dummyYprob"":""50"",""vignetteConfidence"":""2"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""57"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 13:54:23.754472,
"{""subject"":""3aav35yzjh9"",""condition"":""G10x"",""vignetteType"":""G"",""vignetteNumber"":10,""Start100"":""x"",""dummyConfidence"":""2"",""dummyXprob"":""77"",""dummyYprob"":""23"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""34"",""postQuestion1"":""correct"",""postQuestion2"":""it was a simple 50/50 chance, at least that's how I thought of it.""}",2019-11-18 14:14:28.850294,
"{""subject"":""qyj835yzfo0"",""condition"":""G5y"",""vignetteType"":""G"",""vignetteNumber"":5,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""70"",""dummyYprob"":""30"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""41"",""postQuestion1"":""correct"",""postQuestion2"":""There was no information at all to help discern which one might work better, so I have nothing to go on other than to make it a 50/50 proposition.""}",2019-11-18 14:16:39.376081,
"{""subject"":""dtoa35yzp8c"",""condition"":""L12x"",""vignetteType"":""L"",""vignetteNumber"":12,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""99"",""dummyYprob"":""1"",""vignetteConfidence"":""4"",""vignetteXprob"":""100"",""vignetteYprob"":""0"",""gender"":""male"",""age"":""65"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 11:07:57.069377,
"{""subject"":""xgqi35yzu4o"",""condition"":""L6x"",""vignetteType"":""L"",""vignetteNumber"":6,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""3"",""vignetteXprob"":""40"",""vignetteYprob"":""60"",""gender"":""female"",""age"":""20"",""postQuestion1"":""correct"",""postQuestion2"":""I chose that answer because my friend would probably set me up with someone who would be attractive. Because my friends would definitely consider the person's appearance while arranging a blind date. ""}",2019-11-18 14:57:06.073033,
"{""subject"":""9zw335yznid"",""condition"":""L3y"",""vignetteType"":""L"",""vignetteNumber"":3,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""95"",""dummyYprob"":""5"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""41"",""postQuestion1"":""correct"",""postQuestion2"":""There were no clues as to which type of bug it is, it could be either.""}",2019-11-18 02:40:55.142603,
"{""subject"":""2ufm35yzfz2"",""condition"":""G7x"",""vignetteType"":""G"",""vignetteNumber"":7,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""95"",""dummyYprob"":""5"",""vignetteConfidence"":""3"",""vignetteXprob"":""56"",""vignetteYprob"":""44"",""gender"":""male"",""age"":""28"",""postQuestion1"":""correct"",""postQuestion2"":""I was thinking that it was a toss up about which neighborhood the school would be in, so I was not entirely sure which is why my percentage was just a little higher than 50-50. ""}",2019-11-18 06:56:21.225545,
"{""subject"":""n7pu35yzio2"",""condition"":""L11x"",""vignetteType"":""L"",""vignetteNumber"":11,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""85"",""dummyYprob"":""15"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""38"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 15:31:18.322142,
"{""subject"":""dbq035yzm4u"",""condition"":""L8y"",""vignetteType"":""L"",""vignetteNumber"":8,""Start100"":""y"",""dummyConfidence"":""2"",""dummyXprob"":""76"",""dummyYprob"":""24"",""vignetteConfidence"":""2"",""vignetteXprob"":""40"",""vignetteYprob"":""60"",""gender"":""female"",""age"":""53"",""postQuestion1"":""correct"",""postQuestion2"":""I was trying to determine the probability of each choice.""}",2019-11-18 14:37:52.450981,
"{""subject"":""yvt735yz3gw"",""condition"":""L7x"",""vignetteType"":""L"",""vignetteNumber"":7,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""98"",""dummyYprob"":""2"",""vignetteConfidence"":""1"",""vignetteXprob"":""55"",""vignetteYprob"":""45"",""gender"":""female"",""age"":""27"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 13:42:45.345383,
"{""subject"":""6z5635yzxb3"",""condition"":""L5x"",""vignetteType"":""L"",""vignetteNumber"":5,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""91"",""dummyYprob"":""9"",""vignetteConfidence"":""3"",""vignetteXprob"":""48"",""vignetteYprob"":""52"",""gender"":""female"",""age"":""35"",""postQuestion1"":""correct"",""postQuestion2"":""It could go both ways. ""}",2019-11-18 03:22:10.358088,
"{""subject"":""kak035yzx6h"",""condition"":""L2x"",""vignetteType"":""L"",""vignetteNumber"":2,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""34"",""postQuestion1"":""correct"",""postQuestion2"":""It could have just as likely been X as Y based on limited information""}",2019-11-18 13:55:39.191364,
"{""subject"":""8aio35yzcer"",""condition"":""G3y"",""vignetteType"":""G"",""vignetteNumber"":3,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""85"",""dummyYprob"":""15"",""vignetteConfidence"":""0"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""33"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 12:46:03.260014,
"{""subject"":""76u135yzhtc"",""condition"":""G3y"",""vignetteType"":""G"",""vignetteNumber"":3,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""83"",""dummyYprob"":""17"",""vignetteConfidence"":""3"",""vignetteXprob"":""49"",""vignetteYprob"":""51"",""gender"":""female"",""age"":""63"",""postQuestion1"":""correct"",""postQuestion2"":""There was no information leading me to believe that my bosses boss will heavily support one department more or less so than the other. Therefore I chose a 50:50 chance for each of tbe two departments.""}",2019-11-18 04:53:49.849212,
"{""subject"":""sw3535yzoqo"",""condition"":""G2x"",""vignetteType"":""G"",""vignetteNumber"":2,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""100"",""dummyYprob"":""0"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""24"",""postQuestion1"":""correct"",""postQuestion2"":""Because I there weren't any suggestions as to which company would receive funding, I had an equal amount of consideration for both job offers.""}",2019-11-18 10:50:48.001646,
"{""subject"":""23ws35yzvky"",""condition"":""G3x"",""vignetteType"":""G"",""vignetteNumber"":3,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""85"",""dummyYprob"":""15"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""35"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 14:55:55.862352,
"{""subject"":""gp2635yzgv3"",""condition"":""L1x"",""vignetteType"":""L"",""vignetteNumber"":1,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""2"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""41"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 02:05:24.343988,
"{""subject"":""jp7h35yzcl3"",""condition"":""G3y"",""vignetteType"":""G"",""vignetteNumber"":3,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""59"",""postQuestion1"":""correct"",""postQuestion2"":""I was thinking there was no way of predicting which department would get more support.""}",2019-11-18 14:00:29.551989,
"{""subject"":""knuf35yzopp"",""condition"":""L9x"",""vignetteType"":""L"",""vignetteNumber"":9,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""3"",""vignetteXprob"":""40"",""vignetteYprob"":""60"",""gender"":""female"",""age"":""39"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-17 23:31:58.111465,
"{""subject"":""rtgf35yzfji"",""condition"":""G1y"",""vignetteType"":""G"",""vignetteNumber"":1,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""62"",""dummyYprob"":""38"",""vignetteConfidence"":""3"",""vignetteXprob"":""37"",""vignetteYprob"":""63"",""gender"":""female"",""age"":""54"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 03:12:47.941612,
"{""subject"":""vi7m35yzz5e"",""condition"":""L10y"",""vignetteType"":""L"",""vignetteNumber"":10,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""38"",""postQuestion1"":""correct"",""postQuestion2"":""There was no information given on if one was more likely than another to close, so it was a 50/50 chance.""}",2019-11-17 23:38:48.924430,
"{""subject"":""x39q35yzm1h"",""condition"":""L10y"",""vignetteType"":""L"",""vignetteNumber"":10,""Start100"":""y"",""dummyConfidence"":""2"",""dummyXprob"":""81"",""dummyYprob"":""19"",""vignetteConfidence"":""1"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""37"",""postQuestion1"":""correct"",""postQuestion2"":""I mostly used my gut response because I didn't have enough info.  I don't think I could make these decisions without actually being in that position to answer.  There is a lot of inherent truth in the air around a real decision.""}",2019-11-18 01:20:20.108441,
"{""subject"":""1lvx35yzivo"",""condition"":""L10y"",""vignetteType"":""L"",""vignetteNumber"":10,""Start100"":""y"",""dummyConfidence"":""2"",""dummyXprob"":""39"",""dummyYprob"":""61"",""vignetteConfidence"":""4"",""vignetteXprob"":""51"",""vignetteYprob"":""49"",""gender"":""male"",""age"":""42"",""postQuestion1"":""correct"",""postQuestion2"":""I was trying to rationalize which percentage the banks had of closing.""}",2019-11-17 23:33:18.430175,
"{""subject"":""7d7735yzxq4"",""condition"":""G8x"",""vignetteType"":""G"",""vignetteNumber"":8,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""100"",""dummyYprob"":""0"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""51"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 10:14:15.086414,
"{""subject"":""w76135yzxlx"",""condition"":""G11x"",""vignetteType"":""G"",""vignetteNumber"":11,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""98"",""dummyYprob"":""2"",""vignetteConfidence"":""2"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""39"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-17 23:03:54.203237,
"{""subject"":""vlq435yzvej"",""condition"":""L11x"",""vignetteType"":""L"",""vignetteNumber"":11,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""95"",""dummyYprob"":""5"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""40"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-17 23:21:48.784758,
"{""subject"":""i2go35yztlj"",""condition"":""L2y"",""vignetteType"":""L"",""vignetteNumber"":2,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""75"",""dummyYprob"":""25"",""vignetteConfidence"":""1"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""36"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 15:00:43.291730,
"{""subject"":""26vo35yz72o"",""condition"":""G5x"",""vignetteType"":""G"",""vignetteNumber"":5,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""73"",""dummyYprob"":""27"",""vignetteConfidence"":""4"",""vignetteXprob"":""56"",""vignetteYprob"":""44"",""gender"":""male"",""age"":""31"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 10:51:14.169768,
"{""subject"":""m3rp35yz3i3"",""condition"":""L1y"",""vignetteType"":""L"",""vignetteNumber"":1,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""1"",""vignetteXprob"":""26"",""vignetteYprob"":""74"",""gender"":""female"",""age"":""51"",""postQuestion1"":""correct"",""postQuestion2"":""There was really no way to know which would plummet and I thought one had a higher chance than the other""}",2019-11-18 00:40:42.920938,
"{""subject"":""my9m35yzzpu"",""condition"":""L5x"",""vignetteType"":""L"",""vignetteNumber"":5,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""41"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 15:30:50.068748,
"{""subject"":""pydg35yzp3h"",""condition"":""G2y"",""vignetteType"":""G"",""vignetteNumber"":2,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""85"",""dummyYprob"":""15"",""vignetteConfidence"":""0"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""42"",""postQuestion1"":""correct"",""postQuestion2"":""I knew nothing about the companies and nothing in the paragraph gave me a clue as to which one was more successful. ""}",2019-11-18 15:24:37.304987,
"{""subject"":""ojoi35yzcf5"",""condition"":""L7x"",""vignetteType"":""L"",""vignetteNumber"":7,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""95"",""dummyYprob"":""5"",""vignetteConfidence"":""4"",""vignetteXprob"":""40"",""vignetteYprob"":""60"",""gender"":""female"",""age"":""43"",""postQuestion1"":""correct"",""postQuestion2"":""Usually the odds are stacked against people when they go gambling so I bet against the gambler.""}",2019-11-18 03:36:16.956586,
"{""subject"":""wznf35yz91g"",""condition"":""G12y"",""vignetteType"":""G"",""vignetteNumber"":12,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""66"",""dummyYprob"":""34"",""vignetteConfidence"":""3"",""vignetteXprob"":""25"",""vignetteYprob"":""75"",""gender"":""male"",""age"":""33"",""postQuestion1"":""correct"",""postQuestion2"":""i tried to use my best judgement""}",2019-11-18 02:38:04.752179,
"{""subject"":""dd9g35yzt8w"",""condition"":""L6x"",""vignetteType"":""L"",""vignetteNumber"":6,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""39"",""postQuestion1"":""correct"",""postQuestion2"":""I had to choose between two people. I had no other information available to infer who was my date so it seemed like a 50/50 toss-up to me. A few more pieces of information may have made one of the persons more likely.""}",2019-11-18 15:27:11.915482,
"{""subject"":""1tvy35yzh0c"",""condition"":""G6x"",""vignetteType"":""G"",""vignetteNumber"":6,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""94"",""dummyYprob"":""6"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""43"",""postQuestion1"":""correct"",""postQuestion2"":""I don't know enough about the hosts of either party or their relationships to the crush to know which he'd be more likely to attend.""}",2019-11-17 23:25:45.877130,
"{""subject"":""8pi335yzm04"",""condition"":""L4y"",""vignetteType"":""L"",""vignetteNumber"":4,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""39"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 13:31:01.636579,
"{""subject"":""blyd35yzp2o"",""condition"":""G10y"",""vignetteType"":""G"",""vignetteNumber"":10,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""4"",""vignetteXprob"":""10"",""vignetteYprob"":""90"",""gender"":""female"",""age"":""64"",""postQuestion1"":""correct"",""postQuestion2"":""$1000 is a lot of money so I think the chances of winning would be very low.""}",2019-11-18 00:51:38.662828,
"{""subject"":""jdrt35yzoyn"",""condition"":""L4x"",""vignetteType"":""L"",""vignetteNumber"":4,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""95"",""dummyYprob"":""5"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""51"",""postQuestion1"":""correct"",""postQuestion2"":""There was no relevant info to favor one over the other, so I went 50/50.""}",2019-11-18 15:50:20.913047,
"{""subject"":""phvf35yz9s9"",""condition"":""G3x"",""vignetteType"":""G"",""vignetteNumber"":3,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""47"",""postQuestion1"":""correct"",""postQuestion2"":""It was a toss up.  There was no information provided that would lead one choice to be higher over the other.""}",2019-11-18 02:36:30.664547,
"{""subject"":""lymq35yz7nj"",""condition"":""L5x"",""vignetteType"":""L"",""vignetteNumber"":5,""Start100"":""x"",""dummyConfidence"":""1"",""dummyXprob"":""74"",""dummyYprob"":""26"",""vignetteConfidence"":""3"",""vignetteXprob"":""51"",""vignetteYprob"":""49"",""gender"":""male"",""age"":""30"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 00:10:36.834077,
"{""subject"":""lkzg35yze41"",""condition"":""G11y"",""vignetteType"":""G"",""vignetteNumber"":11,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""75"",""dummyYprob"":""25"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""32"",""postQuestion1"":""correct"",""postQuestion2"":""Without any highly specific scientifically valid information about the bird in question the probability of encountering it in either preserve is clearly a coin-flip. A 50% probability rating is simply a banal way to represent the fact that I did not have enough facts to choose either X or Y with any degree of certainty.""}",2019-11-17 22:54:27.251478,
"{""subject"":""a8zq35yz3wt"",""condition"":""G5y"",""vignetteType"":""G"",""vignetteNumber"":5,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""78"",""dummyYprob"":""22"",""vignetteConfidence"":""3"",""vignetteXprob"":""52"",""vignetteYprob"":""48"",""gender"":""male"",""age"":""32"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-18 00:02:37.342344,
"{""subject"":""bkbd35yzilo"",""condition"":""L11y"",""vignetteType"":""L"",""vignetteNumber"":11,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""100"",""dummyYprob"":""0"",""vignetteConfidence"":""3"",""vignetteXprob"":""53"",""vignetteYprob"":""47"",""gender"":""male"",""age"":""29"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-17 23:43:09.789043,
"{""subject"":""a8vb35yzwlm"",""condition"":""L1y"",""vignetteType"":""L"",""vignetteNumber"":1,""Start100"":""y"",""dummyConfidence"":""3"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""30"",""postQuestion1"":""correct"",""postQuestion2"":""There was no evidence either way, just that one would plummet and one would grow.""}",2019-11-17 23:30:02.989195,
"{""subject"":""1xd935yza5f"",""condition"":""L10y"",""vignetteType"":""L"",""vignetteNumber"":10,""Start100"":""y"",""dummyConfidence"":""4"",""dummyXprob"":""86"",""dummyYprob"":""14"",""vignetteConfidence"":""4"",""vignetteXprob"":""49"",""vignetteYprob"":""51"",""gender"":""female"",""age"":""44"",""postQuestion1"":""correct"",""postQuestion2"":""I thought about the information that was given to me.""}",2019-11-18 00:30:05.419893,
"{""subject"":""oyky35yzory"",""condition"":""G3x"",""vignetteType"":""G"",""vignetteNumber"":3,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""90"",""dummyYprob"":""10"",""vignetteConfidence"":""4"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""female"",""age"":""47"",""postQuestion1"":""correct"",""postQuestion2"":""My boss didn't know which department his boss would support.  So, I felt the only way I could answer the question was to say there was a 50/50 chance he would support either department.""}",2019-11-17 23:10:29.508290,
"{""subject"":""ggcl35yz9sd"",""condition"":""G8x"",""vignetteType"":""G"",""vignetteNumber"":8,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""76"",""dummyYprob"":""24"",""vignetteConfidence"":""1"",""vignetteXprob"":""47"",""vignetteYprob"":""53"",""gender"":""female"",""age"":""59"",""postQuestion1"":""correct"",""postQuestion2"":""it could have been either one of the males. it might have been the less attractive one more as a very attractive male would probably not have to go on a blind date a he might be very confident and not afraid to ask girls out as much as the lesser attractive one might be. ""}",2019-11-17 23:03:17.645030,
"{""subject"":""saur35yz2b7"",""condition"":""G2x"",""vignetteType"":""G"",""vignetteNumber"":2,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""70"",""dummyYprob"":""30"",""vignetteConfidence"":""3"",""vignetteXprob"":""80"",""vignetteYprob"":""20"",""gender"":""female"",""age"":""47"",""postQuestion1"":""correct"",""postQuestion2"":""""}",2019-11-17 23:41:39.297927,
"{""subject"":""bo3335yzxib"",""condition"":""L5x"",""vignetteType"":""L"",""vignetteNumber"":5,""Start100"":""x"",""dummyConfidence"":""4"",""dummyXprob"":""95"",""dummyYprob"":""5"",""vignetteConfidence"":""3"",""vignetteXprob"":""50"",""vignetteYprob"":""50"",""gender"":""male"",""age"":""37"",""postQuestion1"":""correct"",""postQuestion2"":""There wasn't enough information about what percentage it is more likely to be.""}",2019-11-18 02:12:33.186000,
"{""subject"":""zk6e35yzldd"",""condition"":""G10x"",""vignetteType"":""G"",""vignetteNumber"":10,""Start100"":""x"",""dummyConfidence"":""3"",""dummyXprob"":""80"",""dummyYprob"":""20"",""vignetteConfidence"":""3"",""vignetteXprob"":""5"",""vignetteYprob"":""95"",""gender"":""male"",""age"":""38"",""postQuestion1"":""correct"",""postQuestion2"":""I figured that if a red ball won $1000 there probably won't be many red ball""}",2019-11-17 23:19:02.981376,
