"","subject","condition","vignetteType","vignetteNumber","Start100","dummyConfidence","dummyXprob","dummyYprob","vignetteConfidence","vignetteXprob","vignetteYprob","gender","age","postQuestion1","postQuestion2"
"31","wnhs35yzb6u","L1y","L",1,"y","3","90","10","1","50","50","female","38","correct","I really had no idea what the probability was that either stock would fall in value. So I figured I might as well say that both stocks had a 50/50 chance of falling in value."
"32","n7f335yzb2j","G11y","G",11,"y","4","95","5","4","50","50","male","29","correct",""
"33","5mtw35yzr30","G4x","G",4,"x","3","82","18","2","47","53","female","33","correct",""
"34","581n35yzw7p","L7x","L",7,"x","3","90","10","2","45","55","male","47","correct","I have a feeling that the number of ""bad"" choices will be slightly below 50%, but that's purely a guess on my part."
"35","bn5l35yze8n","G8x","G",8,"x","4","95","5","3","50","50","male","30","correct",""
"36","uvcf35yzr10","G1x","G",1,"x","4","85","15","1","60","40","female","57","correct","I am not real confident about my knowledge of how the stock market works and based my answer on how much trust I would have in the stock broker."
"37","a94y35yzo01","L3y","L",3,"y","4","95","5","1","50","50","male","46","correct",""
"38","y0cr35yzg2y","L11x","L",11,"x","3","94","6","4","22","78","female","32","incorrect",""
"39","8hs735yzb1o","L12x","L",12,"x","3","80","20","2","45","55","female","32","correct",""
"40","swgn35yzx7s","L11x","L",11,"x","3","93","7","3","50","50","female","51","correct","They had not decided which one to discontinue, and there was no known probability for which would be discontinued. Not knowing, I chose 50/50. Since I have no knowledge, I chose 'somewhat confident,' as I have no additional information. "
"41","6y5l35yzg9f","G2y","G",2,"y","2","80","20","0","50","50","male","28","correct","I had no information about either company (e.g. that one is more popular or doing better than the other). So the best guess I can possibly have is a 50/50 split.

I have a background in statistics. So I'm not one of the people who will say things like ""I have a 50/50 chance of winning the lottery because it either happens or it doesn't."" I just know I can't do any better with the information provided."
"42","bgv835yzkor","L7x","L",7,"x","4","90","10","1","50","50","female","24","correct",""
"43","2njd35yz4b1","G12x","G",12,"x","4","90","10","3","50","50","male","40","correct",""
"44","5xin35yzdqu","G4y","G",4,"y","3","85","15","0","50","50","male","41","correct","I gave it a 50-50 chance of happening because there was not enough information to make any other decision."
"45","q1lr35yzyu4","G3x","G",3,"x","4","99","1","2","30","70","female","38","correct","I would be somewhat unsure of taking word of mouth ""possibilities"" from coworkers in the workplace. However, I  rated the likelyhood as high as I did because the information came from a source that would be more likely to have credible information."
"46","0sn635yzuva","L1y","L",1,"y","3","90","10","4","50","50","male","56","correct","I actually tried to choose ""extremely confident"" but the survey wouldn't let me.  I got a pop up asking me to please answer the second question.  As to why I answered the way that I did.  The scenario given basically said that although one of the stocks would plummet and the other would rise, there was no way to predict which was which.  With that in mind, it was obviously a toss up so I answered 50/50 and wanted to answer extremely confident."
"47","ok4d35yzh8e","L8y","L",8,"y","1","69","31","3","49","51","male","23","correct",""
"48","3a5e35yzd1z","L11y","L",11,"y","4","0","100","3","50","50","male","33","correct",""
"49","eeyi35yzt11","G7x","G",7,"x","3","89","11","4","50","50","male","36","correct","There was no clear answer to which way it would go."
"50","ujh435yz632","G6y","G",6,"y","4","95","5","1","50","50","female","23","correct",""
"51","9z2735yzemv","L11y","L",11,"y","4","100","0","4","100","0","male","44","correct",""
"52","fd6w35yztdx","G10y","G",10,"y","4","99","1","4","2","98","female","55","correct","If I have something to do outside it is going to rain and I would never win $1000"
"53","81dy35yz69y","L8x","L",8,"x","3","93","7","3","73","27","female","58","correct","Airport area can be large, so there's a small change that the airport car park was not affected by the hailstorm. "
"54","spds35yz7iz","L10y","L",10,"y","3","85","15","3","50","50","female","65","correct","it is likely that either branch will close. Since I didn't have any information on each banks location or performance I considered it even odds that it could be either bank equally."
"55","8zyy35yzwpt","L6x","L",6,"x","3","85","15","4","50","50","female","54","correct",""
"56","i7ku35yz2qw","G6y","G",6,"y","3","74","26","4","50","50","female","50","correct","Question 1 - I am usually right about the weather because I can feel it in my head.

Question 2 - There is really no way to know."
"57","3kh635yzg8o","G4y","G",4,"y","3","43","57","1","27","73","male","25","incorrect",""
"58","vvo235yzm8r","G11y","G",11,"y","3","85","15","3","50","50","female","30","correct",""
"59","291a35yzgw3","L10y","L",10,"y","3","80","20","3","50","50","female","37","correct",""
"60","td2535yz3dc","L1y","L",1,"y","2","20","80","3","48","52","female","30","correct",""
"61","1emu35yz5ea","G12y","G",12,"y","4","94","6","3","50","50","male","25","correct",""
"62","owkv35yz9oc","G4x","G",4,"x","2","86","14","2","50","50","male","56","correct","I thought there wasn't enough information to necessarily favor one possibility over the other, so I chose 50/50 odds."
"63","oza035yzrlg","G3y","G",3,"y","3","80","20","1","50","50","male","30","correct",""
"64","cfsi35yzodt","G1x","G",1,"x","4","100","0","4","90","10","female","59","correct","Even with a ""reliable tip,"" the stock market is somewhat unpredictable, and individual stocks especially can be influenced by outside and/or unknown events."
"65","p49n35yzk7o","L4x","L",4,"x","4","95","5","4","50","50","male","48","correct","It really is a 50/50 situation. It can not be determined without further diagnosis."
"66","s5ou35yzfem","L2x","L",2,"x","4","90","10","4","25","75","male","32","correct","***I wanted to select extremely confident but I wasn't allowed. A popup kept coming up saying please answer the 2nd question.***

I wouldn't purposely put myself in danger knowing there is a high risk of being bitten by a lethal snake. I probably would be dead already if it was lethal.

"
"67","uxw035yz3kj","G5y","G",5,"y","4","94","6","4","49","51","male","52","correct",""
"68","jmkp35yzz7n","L7y","L",7,"y","3","80","20","4","50","50","male","33","correct",""
"69","nb7c35yz486","G3y","G",3,"y","3","85","15","3","50","50","female","38","correct","There was really no information to make one more likely than the other, so to me, it was a completely 50/50 chance. "
"70","oszu35yzb3j","L7y","L",7,"y","0","97","3","1","50","50","male","35","correct","I had no reason to choose *any* answer over any other, but equally likely seemed as good an answer as any other. "
"71","k0o235yz30d","G2x","G",2,"x","3","100","0","3","50","50","male","33","correct",""
"72","f7oj35yz7re","G2x","G",2,"x","4","96","4","3","94","6","male","71","correct",""
"73","duua35yzm1f","G4y","G",4,"y","4","88","12","3","55","45","female","41","correct","Initial odds would be 50/50 since it was one of the two people but since I have a crush on 'X' I likely show more interest in them and am trying harder to make a better impression with that person so they are slightly more likely to have a more positive opinion of me. "
"74","530x35yzped","G6y","G",6,"y","4","99","1","2","40","60","female","50","correct","If I knew whose party it was, and where it was, I would be able to give a more accurate assessment of what my crush is likely to do. But without details, I just went for 60/40, figuring one option is more likely than the other."
"75","gw5035yzbyj","L9y","L",9,"y","4","94","6","4","50","50","female","41","correct","It seemed like it could either way with the election so I said 50/50."
"76","b6m535yzurq","L3x","L",3,"x","4","100","0","3","73","27","female","36","correct",""
"77","5u1m35yzayd","L3x","L",3,"x","3","85","15","2","50","50","male","29","correct","I made it 50-50 because there is no way of knowing for sure. I was thinking if it was a trick question and if I am missing something and if there is a clever solution"
"78","xs8r35yzkj7","G10y","G",10,"y","3","90","10","4","5","95","male","39","correct",""
"79","c86l35yzkzc","L3x","L",3,"x","3","75","25","2","20","80","female","55","correct","How likely is that in my area? Something so destructive would be well known in my area."
"80","iae535yzetq","G12x","G",12,"x","3","80","20","1","50","50","female","61","correct",""
"81","i3gh35yziba","L1x","L",1,"x","3","85","15","2","50","50","female","39","correct","I had no information on the probabilities so i went with 50% each. That's a best guess in that situation. "
"82","0jm635yzs1w","L4y","L",4,"y","3","85","15","3","50","50","female","48","correct",""
"83","kz0q35yzy6a","L9x","L",9,"x","4","95","5","3","50","50","male","27","correct","Based off the reading, the current mayor seemed to think there was a chance that he would lose. I put the odds at 50/50. "
"84","44ha35yz3ko","G5x","G",5,"x","3","86","14","3","51","49","female","42","correct",""
"85","t3ub35yzha6","L9x","L",9,"x","4","90","10","4","77","23","female","68","correct","I have a hunch the voters are interested in a change, since the incumbent has been in office for 5 terms."
"86","uhws35yzirh","G2y","G",2,"y","3","80","20","3","50","50","female","49","correct","I assumed since I applied for the positions, they are both similar companies. Possibly so similar that one doesn't stand out over the other when trying to determine which company it is. Therefore, I put it at a safe 50/50."
"87","4izj35yzlov","L2y","L",2,"y","3","90","10","1","33","67","male","56","correct","Because harmless snakes seem to be the majority in most places.  If the majority of snakes were poisonous, there's be more dethes than there are."
"88","rrwa35yzu5k","G6y","G",6,"y","2","65","35","2","85","15","female","48","correct","Unless my crush happens to be very young and likes to party-hop, chances are that he will go to one and stay there. Not run to the other one. unless, he happens to want to see me and is also going to both to see which one that I'm at."
"89","nzbi35yzgjm","L11x","L",11,"x","3","80","20","3","70","30","female","39","correct","I found this one a tough one, I just relied on my intuition but I can't be sure of the outcomes."
"90","ecn435yzxum","G2x","G",2,"x","3","78","22","0","50","50","female","27","correct",""
"91","2qri35yz9vp","G10y","G",10,"y","3","80","20","3","14","86","male","33","correct","the chance to win that much money would obviously be low. it would be rigged most likely."
"92","9iis35yzlby","G3y","G",3,"y","3","85","15","1","50","50","female","46","correct",""
"93","ed2s35yzkc2","G3y","G",3,"y","3","75","25","4","50","50","female","44","correct","I chose a 50/50 split because no other information was given. It could go equally either way because of how the question was phrased. "
"94","3j8f35yzwn8","L12y","L",12,"y","4","100","0","4","50","50","male","29","correct",""
"95","rwr635yz0pa","L7x","L",7,"x","3","80","20","3","50","50","female","22","correct","I thought I had a 50/50 chance since it was only two different balls."
"96","asd135yz6eh","L1y","L",1,"y","4","97","3","4","50","50","female","45","correct","I feel each had a 50% chance because I was not given any specific information on either stock. "
"97","au8w35yz1ag","L1x","L",1,"x","4","93","7","4","80","20","male","25","correct",""
"98","fwck35yzurb","L1y","L",1,"y","3","85","15","4","51","49","female","56","correct","I had no additional information, so it seemed to me that either stock could plummet and the odds would be pretty much 50-50 as to which one it would be."
"99","madj35yzzh2","G7y","G",7,"y","3","75","25","2","30","70","female","33","correct","I have bad luck when it comes to things like that and if I were making a similar decision, 20% is the maximum I would trust such a thing to happen."
"100","xve835yz44b","G12y","G",12,"y","4","1","99","3","25","75","female","32","correct",""
"101","ejar35yzhch","L3y","L",3,"y","3","91","9","3","55","45","female","32","correct",""
"102","g02235yzvln","L7x","L",7,"x","3","85","15","1","50","50","male","76","correct","%age of red:yellow unstated.. assuming 50-50 but not at all sure."
"103","0t1h35yzp87","L8x","L",8,"x","3","85","15","2","60","40","male","40","correct",""
"104","hm5035yzs4j","L9y","L",9,"y","4","95","5","3","70","30","female","34","correct","You said the other guy was a ""surprisingly powerful challenger"" so..."
"105","ten835yz851","G6x","G",6,"x","4","95","5","4","75","25","female","48","correct","I think that my crush already has in mind what party they will be attending, even if I don't personally know which one, so the probability if much higher that they attend one over the other. "
"106","zcty35yzvs3","G4x","G",4,"x","4","80","20","2","55","45","male","39","correct","My choices were slightly biased on what I want.   "
"107","cg2c35yz4xp","G5y","G",5,"y","3","96","4","2","50","50","male","40","correct","One choice was not described as being better than the other."
"108","rr5p35yzsza","L9x","L",9,"x","4","90","10","3","40","60","male","23","correct",""
"109","ndlt35yzuit","G1y","G",1,"y","3","80","20","3","12","88","female","48","correct",""
"110","xy9q35yzzbf","L6x","L",6,"x","3","79","21","3","52","48","female","35","correct",""
"111","5yvm35yzor2","G11x","G",11,"x","2","85","15","2","49","51","female","45","correct","I thought the last one could defintely go either way."
"112","jzgm35yznae","G9y","G",9,"y","4","95","5","4","50","50","female","42","correct",""
"113","gk1435yzsp7","L6x","L",6,"x","3","90","10","3","28","72","male","35","correct",""
"114","9uve35yznn5","L11y","L",11,"y","2","59","41","4","68","32","male","46","correct","I guessed that one activity (X) would be dropped.I was thinking that at least one of the two would be dropped because schools sometimes drop activities for lack of funds."
"115","mntz35yzcdw","L4x","L",4,"x","3","95","5","4","50","50","female","57","correct","there was no other data so I went with 50/50"
"116","r46935yzn24","G9y","G",9,"y","4","90","10","4","50","50","female","35","correct","It seemed like a trick question. Most, if not all of the other sections used the word ""likelihood"" but this one used the word ""probability."" Those are not synonyms."
"117","qs9j35yzwal","L1x","L",1,"x","3","90","10","1","50","50","male","33","correct",""
"118","izex35yzpxm","G7y","G",7,"y","3","90","10","4","50","50","male","52","correct",""
"119","6n7h35yz84m","G8x","G",8,"x","4","85","15","4","50","50","female","37","correct",""
"120","vy2k35yz0ur","G2x","G",2,"x","3","83","17","2","50","50","female","56","correct","there was no indication either was more likely"
"121","b86u35yzlki","L7x","L",7,"x","3","100","0","1","50","50","female","32","correct",""
"122","0pyf35yzm0z","L10x","L",10,"x","3","85","15","3","50","50","male","37","correct",""
"123","93ly35yzyft","L7x","L",7,"x","3","70","30","1","50","50","male","41","correct","Since the data was insufficient  to make  a decision, I went with least chance for failure."
"124","stvw35yzd87","G3x","G",3,"x","2","82","18","0","50","50","male","37","correct",""
"125","3dvu35yzfsb","G10y","G",10,"y","3","95","5","2","33","67","male","36","correct","The question was too vague for me (or anyone!) to answer with confidence.  Did the casino set this game up so that a player could only win by picking a red ball, or was each player allowed to choose which color they expected to pick?  This was a glaring detail that should have been included, because it would have affected how I answered.  If the casino only allowed red balls to win, as I was forced to assume, then there would clearly be less than 50% chance of a ball being red.  If players were allowed to choose for themselves, then there would probably have been a 50% chance of winning."
"126","6x3n35yzkoe","G8y","G",8,"y","3","85","15","4","12","88","female","46","correct",""
"127","yerv35yz22s","L6x","L",6,"x","3","90","10","4","45","55","female","59","correct",""
"128","dcms35yzgdj","L2y","L",2,"y","3","89","11","2","49","51","male","31","correct",""
"129","dl6x35yzyjs","L11y","L",11,"y","4","100","0","4","50","50","male","25","correct",""
"130","15xy35yzluk","L1x","L",1,"x","3","97","3","4","95","5","female","50","correct",""
"131","kket35yz97e","L8y","L",8,"y","3","90","10","3","50","50","female","50","correct",""
"132","7j5y35yzv0v","L4y","L",4,"y","4","90","10","3","5","95","male","67","correct","As I am very careful about my computer(s), I infer that I have a very mild form of virus that will only take an hour to remove.  I'd do it myself, but your instructions say otherwise.  Of course, Murphy might say otherwise..."
"133","ah9n35yzn7l","L2x","L",2,"x","4","95","5","4","50","50","male","53","correct",""
"134","a85n35yzrnn","L1x","L",1,"x","4","100","0","3","50","50","female","56","correct",""
"135","sa2v35yzbz4","L12x","L",12,"x","3","80","20","4","95","5","female","41","correct","It said what was the probability that the budget would be slashed for one department.  It didn't specify if you thought that it was going to happen for x over y so I left the probability high"
"136","bhsg35yzk8y","G6x","G",6,"x","4","95","5","3","50","50","male","30","correct",""
"137","hzcr35yzn93","G1x","G",1,"x","4","91","9","1","50","50","male","33","correct","I didn't know which of the two stocks would skyrocket because he did not tell me when I was on the call with my broker so it's totally random."
"138","8jv335yzsi1","L1y","L",1,"y","3","80","20","4","90","10","female","47","correct","It was an insider tip and more than likely it was a great tip to act on. I would not want to risk hoping it did not when I could have done something to keep me from losing money"
"139","l06335yzt1s","G5x","G",5,"x","3","83","17","1","60","40","female","29","correct",""
"140","peei35yz6zs","L3y","L",3,"y","4","85","15","1","50","50","male","22","correct",""
"141","4ip235yzu98","G10x","G",10,"x","3","86","14","3","50","50","female","28","correct",""
"142","3vzs35yz1mq","L11x","L",11,"x","4","95","5","4","55","45","male","31","correct",""
"143","zr8i35yz7kk","L9x","L",9,"x","3","97","3","3","44","56","male","32","correct","I've won a lot of terms, but it is unclear how likely I am to win. There are candidates and it said the specific probabilities are not certain."
"144","i5w735yz8pa","L2x","L",2,"x","4","97","3","3","50","50","male","27","correct","I wanted to know how common each type of snake was, but that was not given. I would usually not try to assume the worst option (the lethal snake), but you need to be ready and prepared for the worse in that type of scenario, so I assumed that there was a 50/50 chance of either species. "
"145","m9w635yzvkb","G3x","G",3,"x","4","85","15","0","50","50","male","45","correct",""
"146","6fyz35yz10i","L6x","L",6,"x","3","74","26","4","19","81","female","49","correct","I dont generally find people as unattractive as others do."
"147","8op835yzc3v","G2x","G",2,"x","4","95","5","2","50","50","female","33","correct",""
"148","4sa735yz0ps","L7x","L",7,"x","4","90","10","4","50","50","male","25","correct",""
"149","zupu35yzjfk","G4y","G",4,"y","3","85","15","1","40","60","male","32","correct","I considered my luck and the chances of something I want could actually happen felt low."
"150","sdsk35yz5nh","L10x","L",10,"x","3","97","3","4","50","50","female","43","correct","Based on the scenario there was 50:50 chance that one of the branches will be closed. There was not enough information to make higher estimate. Both branches had an equal chance for closing."
"151","he5035yzwfd","G6x","G",6,"x","4","90","10","3","50","50","female","31","correct","I had no information about which party my crush is more likely to attend, so I had to choose 50/50. Thank you for this opportunity."
"152","md8935yzn6p","L1x","L",1,"x","3","90","10","3","50","50","male","34","correct","There wasn't much information given, so I thought 50/50 was a good guess. "
"153","p3vd35yzay4","L8y","L",8,"y","4","94","6","3","19","81","male","38","correct",""
"154","ji2435yziw8","L10y","L",10,"y","3","85","15","4","50","50","male","38","correct","I read it as what is possibility that either will close.  since there are 2 places and one will close it's 50/50."
"155","v8cd35yz5km","L3x","L",3,"x","4","0","100","3","50","50","female","68","correct",""
"156","j0b435yzec0","L10x","L",10,"x","3","90","10","3","50","50","female","65","correct","Without any further information, I have to assume it's a coin toss. There is no way to tell from the information given which branch is likely to close."
"157","gb6n35yzi2g","L6y","L",6,"y","4","95","5","4","50","50","male","38","correct","I seemed to me that since it was two people and it was one or the other that a 50 50 split was a good choice."
"158","vh2q35yznmb","G7x","G",7,"x","3","90","10","4","50","50","female","44","correct",""
"159","gvxk35yzuv2","L6y","L",6,"y","3","92","8","4","33","67","male","35","correct",""
"160","fezp35yz2uo","G9y","G",9,"y","4","100","0","4","100","0","female","59","correct",""
"161","yhjp35yz0nk","L10x","L",10,"x","3","95","5","4","50","50","female","45","correct","One of them will close and it's unknown which one, so I think it's a 50/50 chance that either one will close."
"162","zyy035yz0zj","L7y","L",7,"y","4","78","22","2","50","50","female","38","correct","The urn contained the same amount of red balls and yellow ball."
"163","vb1z35yzoyc","G5x","G",5,"x","3","85","15","4","50","50","male","63","correct","all i knew was that there were 2 options to pick from. there was no hint of one being better than the other. therefore, i chose 50/50."
"164","fay735yz02g","L3x","L",3,"x","3","94","6","2","65","35","male","31","correct",""
"165","odfw35yz13e","G11y","G",11,"y","4","100","0","4","50","50","female","31","correct","I based on the the forecasting deduction. There are usually two clues that leads to my final decision."
"166","o7rk35yz6k0","L8y","L",8,"y","4","85","15","4","60","40","male","59","correct","It said the hailstorm was near the airport but not exactly where. These storms tend to be strong but localized so I chose a slightly higher than average chance of damage."
"167","8eny35yz7x6","G3y","G",3,"y","3","88","12","4","48","52","male","37","correct","It was equally likely that either department would be selected"
"168","7gpw35yzx9e","G11y","G",11,"y","3","89","11","2","50","50","female","36","correct",""
"169","f40235yz5md","L5y","L",5,"y","3","90","10","3","45","55","female","25","correct",""
"170","acot35yzlh4","G10y","G",10,"y","4","85","15","4","50","50","male","54","correct","there were only 2 colors of balls, assuming that there were equal quantities of each then it is a 50-50 chance of it coming up red or yellow"
"171","5o5m35yz9qj","L1y","L",1,"y","3","80","20","2","50","50","female","48","correct","I chose 50/50 because I didn't know which would plummet, but I was only slightly confident in my answer because one of them is going to plummet and one is not (which means one should be 100% and the other 0% (I just didn't know which).  
"
"172","cpuj35yzve6","G12y","G",12,"y","3","80","20","2","50","50","male","38","correct","I didn't have enough information about each drug so I was unsure."
"173","k9ue35yzstx","G9y","G",9,"y","1","83","17","1","50","50","female","55","correct","Since I had no other information to go on, I felt I had no choice but to choose 50/50. I wasn't confident though, because of course there had to be ""more"" to it than the donor flipping a coin to decide. "
"174","5nzq35yzoru","G11x","G",11,"x","4","90","10","4","50","50","male","42","correct",""
"175","sbf835yzrc9","L4y","L",4,"y","2","50","50","2","25","75","male","21","correct","I was using wishful thinking actually; we as human beings always expect the best case scenario to happen, and the ''Y'' is the best one using this way of thinking."
"176","7gsz35yzmzp","G12x","G",12,"x","4","90","10","4","51","49","male","37","correct",""
"177","w8ek35yz7sk","G5x","G",5,"x","4","80","20","4","100","0","female","52","correct","The vignette stated that both will improve running time, but each one works for different people, and it was impossible to tell which one would work for me. So, that tells me one would work and the other wouldn't."
"178","hiz035yzip1","G11y","G",11,"y","4","99","1","3","50","50","female","39","correct",""
"179","35md35yznpu","L12y","L",12,"y","3","92","8","3","50","50","female","34","correct","There was not enough information given to decide if one was more likely than the other."
"180","phdu35yze97","G2x","G",2,"x","3","85","15","3","50","50","female","43","correct",""
"181","u51535yz10i","G1x","G",1,"x","3","75","25","4","50","50","female","31","correct","It could easily be either, if he says ""one of""."
"182","puah35yzawb","G6x","G",6,"x","4","91","9","4","94","6","female","37","correct","The vignette did mention that the romantic crush was definitely supposed to attend one of the parties, without mentioning whether or not that person was to attend the other party, as well. So, it didn't seem as though that person attending two parties was even a consideration. However, a small percentage was left, given that there was no indication that the person would definitely attend only one of the parties"
"183","3lns35yzn0k","G5y","G",5,"y","3","80","20","3","50","50","male","48","correct","There were no real data points to go on, so either a protocol would work or would not."
"184","te7z35yzhgf","G10y","G",10,"y","4","95","5","3","1","99","male","31","correct",""
"185","y5ww35yzs83","L5x","L",5,"x","3","81","19","2","44","56","male","75","correct","I wanted to be minimally optimistic that I had the non-lethal variety because I think positivity helps in overall health outcomes."
"186","qx8m35yzs7n","L11x","L",11,"x","3","90","10","2","50","50","female","61","correct","There was no indication that one was more likely to be discontinued than the other so I guessed at a 50% chance for each.  I was thinking of which one would be more likely to be discontinued when I decided on that answer."
"187","gla135yzq1f","L8y","L",8,"y","3","100","0","3","60","40","female","62","correct","I was thinking about the hailstorm being nearby, so it isn't 100% certain that it will damage my car but there is a good possibility, more so than if it was in the next town.  "
"188","326635yzatf","L6x","L",6,"x","4","90","10","3","50","50","female","36","correct",""
"189","nkq135yzyyn","G12x","G",12,"x","4","90","10","3","49","51","male","36","correct","I actually was thinking of low probability of either drug working, that is probably less than 50 for one and less than 50 for the other, but since the bar was only for either/or, I just chose a place in the middle.  Both seemed sketchy and that there was no study to back up their efficacy so I chose how I did."
"190","ucvm35yzxiz","G12y","G",12,"y","3","90","10","2","50","50","female","33","correct",""
"191","0ib435yzsie","L10x","L",10,"x","3","92","8","2","50","50","male","38","correct","there are only two options and we don't have any other information, so the probability is a complete guess."
"192","hskw35yzzib","G5y","G",5,"y","3","85","15","3","50","50","male","47","correct",""
"193","m28h35yz901","G10x","G",10,"x","4","94","6","4","2","98","male","70","correct","I actually believe that the odds are 1 in a 1000 for picking a red ball because there are 1000 balls and the payout is $1000. However, the slide would not even allow me to select 1%, so I had to select 2% for my answer. 
I am still reasonably confident my my choice."
"194","35ax35yzzt1","L4x","L",4,"x","3","95","5","4","50","50","male","35","correct","There is no clear symptoms of whether it could be virus X or Y and there is no indication on how likely the computer is affected by Virus X or Y. So given the situation, I would choose there is equal chance of virus X or Y to be there. When I made the answer I was trying to see if there is any statement that could support whether virus X or Y is the likely cause."
"195","yn8s35yzoqt","G12x","G",12,"x","3","70","30","4","50","50","female","48","correct","Two drugs - one works, one doesn't, as described - that would make a 50% probabbility that the drug the student chose works on him specifiaclly, if I have read and understood the description correctly. "
